Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
GO_REGULATION_OF_B_CELL_RECEPTOR_SIGNALING_PATHWAY	13	0.36602	0.15684	1	0.63398	0.84416	0.98208	0.49059	0.86513	0.95402	9	0.43857	0.74426	1	4	0.60764	0.8951	0.96518
GO_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY	119	0.49298	0.83716	1	0.50702	0.16384	0.38556	0.39706	0.71229	0.90044	59	0.37779	0.5974	1	60	0.416	0.62637	0.82653
GO_DENDRITE_DEVELOPMENT	78	0.48297	0.71329	1	0.51703	0.28771	0.53491	0.39513	0.63237	0.85785	39	0.36106	0.44755	1	39	0.42919	0.71928	0.88293
GO_REGULATION_OF_RESPIRATORY_BURST	11	0.53439	0.74725	1	0.46561	0.25375	0.49784	0.2964	0.17483	0.56157	5	0.30169	0.33766	0.97557	6	0.29199	0.23776	0.55644
GO_G_PROTEIN_COUPLED_RECEPTOR_INTERNALIZATION	12	0.51333	0.72028	1	0.48667	0.28072	0.5281	0.4886	0.87812	0.95921	5	0.41832	0.65135	1	7	0.5388	0.87313	0.95802
GO_MEMORY	93	0.51955	0.95405	1	0.48045	0.046953	0.17971	0.34152	0.098901	0.47754	43	0.33021	0.20579	0.94418	50	0.35124	0.14985	0.45426
GO_NEURON_DEVELOPMENT	653	0.4797	0.92507	1	0.5203	0.075924	0.24388	0.36888	0.12587	0.51274	340	0.35495	0.19081	0.92502	313	0.384	0.20579	0.53095
GO_REGULATION_OF_GOLGI_ORGANIZATION	11	0.49742	0.62338	1	0.50258	0.37762	0.62999	0.43717	0.73327	0.90727	6	0.47934	0.81419	1	5	0.38657	0.4965	0.75051
GO_ENDOTHELIAL_CELL_DEVELOPMENT	44	0.55607	0.96803	1	0.44393	0.032967	0.14551	0.41694	0.77423	0.92027	19	0.45473	0.87712	1	25	0.38822	0.43157	0.70915
GO_POSITIVE_REGULATION_OF_MYOTUBE_DIFFERENTIATION	26	0.45472	0.46953	1	0.54528	0.53147	0.7672	0.37321	0.45355	0.77792	15	0.3783	0.55544	1	11	0.36627	0.36164	0.66166
GO_REGULATION_OF_CELL_ACTIVATION	440	0.45032	0.26673	1	0.54968	0.73427	0.91329	0.35894	0.052947	0.39474	251	0.35102	0.19481	0.93114	189	0.36946	0.086913	0.36159
GO_MULTICELLULAR_ORGANISM_AGING	29	0.47555	0.59441	1	0.52445	0.40659	0.65827	0.45198	0.89411	0.96525	17	0.49086	0.94406	1	12	0.39689	0.47852	0.7392
GO_ATP_DEPENDENT_CHROMATIN_REMODELING	66	0.24196	0.000999	0.053392	0.75804	1	1	0.31121	0.035964	0.34162	53	0.2498	0.002997	0.25062	13	0.56158	0.96004	0.99133
GO_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS	908	0.49781	1	1	0.50219	0.000999	0.013594	0.38049	0.45255	0.77792	453	0.37473	0.6993	1	455	0.38622	0.17483	0.48581
GO_ION_TRANSPORT	1183	0.4891	1	1	0.5109	0.000999	0.013594	0.35741	0.002997	0.1187	621	0.36717	0.46154	1	562	0.34662	0.000999	0.030556
GO_LIPID_MODIFICATION	196	0.58883	1	1	0.41117	0.000999	0.013594	0.33411	0.015984	0.25323	74	0.35342	0.35065	0.97926	122	0.3224	0.001998	0.046393
GO_NEGATIVE_REGULATION_OF_KIDNEY_DEVELOPMENT	17	0.47187	0.55744	1	0.52813	0.44356	0.69015	0.19502	0.002997	0.1187	9	0.1866	0.022977	0.55647	8	0.20449	0.033966	0.23501
GO_REGULATION_OF_HEPATOCYTE_PROLIFERATION	12	0.59758	0.92408	1	0.40242	0.076923	0.2462	0.18507	0.014985	0.25275	5	0.25628	0.23676	0.95731	7	0.1342	0.002997	0.062111
GO_ACYLGLYCEROL_HOMEOSTASIS	28	0.70914	1	1	0.29086	0.000999	0.013594	0.38519	0.52248	0.80869	6	0.54141	0.91409	1	22	0.34258	0.1998	0.52371
GO_NEGATIVE_REGULATION_OF_PHOSPHOPROTEIN_PHOSPHATASE_ACTIVITY	14	0.53278	0.77423	1	0.46722	0.22677	0.46422	0.37879	0.48951	0.79541	6	0.35174	0.47552	1	8	0.39907	0.48551	0.74353
GO_NEGATIVE_REGULATION_OF_PROTEIN_COMPLEX_ASSEMBLY	101	0.48924	0.81019	1	0.51076	0.19081	0.41944	0.38883	0.5954	0.84411	50	0.36099	0.46354	1	51	0.41613	0.64236	0.8352
GO_HEMOGLOBIN_METABOLIC_PROCESS	11	0.75492	0.995	1	0.24508	0.005994	0.046082	0.25915	0.094905	0.47463	3	0.57648	0.86214	1	8	0.14016	0.005994	0.093604
GO_SINGLE_FERTILIZATION	93	0.40815	0.068931	0.73153	0.59185	0.93207	1	0.43622	0.94605	0.97916	60	0.42071	0.91109	1	33	0.46442	0.88012	0.95967
GO_LEUKOCYTE_ACTIVATION	385	0.43838	0.0999	0.88454	0.56162	0.9011	1	0.40616	0.95105	0.98113	229	0.39722	0.92607	1	156	0.41929	0.7982	0.92251
GO_CHROMOSOME_ORGANIZATION	920	0.38658	0.000999	0.053392	0.61342	1	1	0.36549	0.040959	0.36194	587	0.32501	0.000999	0.15267	333	0.43686	0.98701	1
GO_REGULATION_OF_MITOCHONDRIAL_DEPOLARIZATION	17	0.53976	0.83417	1	0.46024	0.16683	0.38931	0.30216	0.15984	0.54417	8	0.34304	0.4036	1	9	0.26582	0.093906	0.37218
GO_NEGATIVE_REGULATION_OF_MAP_KINASE_ACTIVITY	72	0.49427	0.7992	1	0.50573	0.2018	0.43266	0.36448	0.2957	0.67651	35	0.33453	0.24675	0.95895	37	0.39282	0.44655	0.7176
GO_SYNAPTIC_VESICLE_LOCALIZATION	100	0.46705	0.57642	1	0.53295	0.42458	0.67241	0.34177	0.0999	0.47754	53	0.31686	0.083916	0.7981	47	0.36987	0.23377	0.55176
GO_PHENOL_CONTAINING_COMPOUND_METABOLIC_PROCESS	77	0.58813	1	1	0.41187	0.000999	0.013594	0.36949	0.35964	0.72814	32	0.45348	0.93506	1	45	0.30977	0.035964	0.24277
GO_REGULATION_OF_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY	38	0.40394	0.14585	1	0.59606	0.85514	0.98774	0.44651	0.89211	0.96404	24	0.40973	0.72927	1	14	0.50956	0.8991	0.96737
GO_ESTABLISHMENT_OF_SPINDLE_ORIENTATION	25	0.40429	0.19281	1	0.59571	0.80819	0.96427	0.39228	0.58242	0.83817	15	0.33406	0.33367	0.97098	10	0.47963	0.80819	0.92523
GO_METANEPHRIC_NEPHRON_MORPHOGENESIS	21	0.49676	0.68531	1	0.50324	0.31568	0.56787	0.30383	0.11189	0.49584	10	0.26221	0.17383	0.91064	11	0.34166	0.26573	0.5817
GO_GLYCERALDEHYDE_3_PHOSPHATE_METABOLIC_PROCESS	16	0.44166	0.38661	1	0.55834	0.61439	0.82865	0.2209	0.015984	0.25323	10	0.28337	0.22577	0.95731	6	0.11677	0.012987	0.14328
GO_RESPONSE_TO_UV_C	11	0.60909	0.91808	1	0.39091	0.082917	0.2583	0.27947	0.14286	0.52652	3	0.079032	0.04995	0.70258	8	0.35464	0.32767	0.63626
GO_CARBOHYDRATE_CATABOLIC_PROCESS	105	0.57364	1	1	0.42636	0.000999	0.013594	0.35283	0.14585	0.52947	44	0.40353	0.77323	1	61	0.31626	0.022977	0.18976
GO_DENTATE_GYRUS_DEVELOPMENT	15	0.58788	0.93107	1	0.41212	0.06993	0.23064	0.45192	0.7992	0.93051	7	0.6011	0.98202	1	8	0.32139	0.22577	0.5433
GO_ESTABLISHMENT_OR_MAINTENANCE_OF_TRANSMEMBRANE_ELECTROCHEMICAL_GRADIENT	13	0.3277	0.077922	0.78381	0.6723	0.92308	1	0.39085	0.56044	0.82622	9	0.31118	0.2997	0.95895	4	0.57008	0.83616	0.93907
GO_LABYRINTHINE_LAYER_DEVELOPMENT	42	0.53044	0.90909	1	0.46956	0.091908	0.27622	0.29123	0.026973	0.30139	20	0.31971	0.26873	0.95895	22	0.26535	0.014985	0.15601
GO_N_TERMINAL_PROTEIN_AMINO_ACID_ACETYLATION	14	0.43405	0.4046	1	0.56595	0.5964	0.81706	0.28876	0.12488	0.51244	8	0.26226	0.15185	0.88203	6	0.3241	0.31169	0.62493
GO_NEUROLOGICAL_SYSTEM_PROCESS	774	0.4651	0.65435	1	0.5349	0.34665	0.59998	0.3904	0.7972	0.93014	426	0.38279	0.83716	1	348	0.3997	0.51049	0.76255
GO_NEURONAL_STEM_CELL_DIVISION	13	0.2925	0.041958	0.5523	0.7075	0.95904	1	0.25733	0.076923	0.43916	10	0.24752	0.12787	0.84004	3	0.29004	0.27672	0.59003
GO_CERAMIDE_CATABOLIC_PROCESS	10	0.48131	0.59041	1	0.51869	0.41059	0.65992	0.51714	0.90909	0.96841	5	0.47975	0.78821	1	5	0.55452	0.86913	0.95553
GO_EXCRETION	44	0.4666	0.56244	1	0.5334	0.43856	0.68647	0.32503	0.10889	0.49139	25	0.34724	0.38262	0.99279	19	0.29579	0.075924	0.345
GO_DIGESTION	117	0.47438	0.68132	1	0.52562	0.31968	0.57112	0.31548	0.010989	0.2157	62	0.30578	0.058941	0.73378	55	0.32642	0.024975	0.19744
GO_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	17	0.66147	0.997	1	0.33853	0.003996	0.034622	0.26896	0.068931	0.42706	5	0.30622	0.35065	0.97926	12	0.25343	0.050949	0.28785
GO_POSITIVE_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION	46	0.38804	0.072927	0.75234	0.61196	0.92807	1	0.36856	0.38362	0.74149	29	0.32162	0.21079	0.95426	17	0.44864	0.74525	0.89936
GO_HINDBRAIN_DEVELOPMENT	132	0.49128	0.83616	1	0.50872	0.16484	0.38668	0.38269	0.50649	0.80358	63	0.33501	0.19181	0.92502	69	0.42622	0.77023	0.91031
GO_OLIGOSACCHARIDE_METABOLIC_PROCESS	61	0.59501	0.999	1	0.40499	0.001998	0.022784	0.33036	0.091908	0.47101	23	0.36399	0.48152	1	38	0.31001	0.036963	0.248
GO_NEGATIVE_REGULATION_OF_DENDRITIC_SPINE_DEVELOPMENT	11	0.60112	0.90609	1	0.39888	0.094905	0.28011	0.36159	0.40559	0.75629	4	0.40026	0.58042	1	7	0.33949	0.30569	0.61992
GO_MODULATION_OF_GROWTH_OF_SYMBIONT_INVOLVED_IN_INTERACTION_WITH_HOST	16	0.56673	0.87612	1	0.43327	0.12488	0.32953	0.34774	0.35964	0.72814	7	0.40709	0.66733	1	9	0.30157	0.17083	0.48103
GO_CHROMOSOME_SEGREGATION	247	0.33273	0.000999	0.053392	0.66727	1	1	0.32341	0.000999	0.062416	172	0.27398	0.000999	0.15267	75	0.43676	0.86014	0.95083
GO_NEGATIVE_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY	32	0.52392	0.83816	1	0.47608	0.16284	0.38464	0.3499	0.26573	0.6484	14	0.31169	0.26973	0.95895	18	0.37962	0.41758	0.70133
GO_ETHER_METABOLIC_PROCESS	11	0.51081	0.67532	1	0.48919	0.32567	0.57672	0.34751	0.35664	0.72705	6	0.4217	0.68432	1	5	0.25849	0.17283	0.48389
GO_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION	94	0.48601	0.73826	1	0.51399	0.26274	0.50851	0.38527	0.54146	0.81559	49	0.38353	0.66633	1	45	0.38716	0.41159	0.69805
GO_CYTOKINE_METABOLIC_PROCESS	16	0.50398	0.67033	1	0.49602	0.33067	0.58301	0.3509	0.38262	0.74117	7	0.26727	0.18981	0.92502	9	0.41594	0.55944	0.78891
GO_ANTEROGRADE_AXONAL_TRANSPORT	22	0.45287	0.47053	1	0.54713	0.53047	0.7665	0.3865	0.53247	0.81281	11	0.29224	0.21878	0.95731	11	0.48075	0.7972	0.92251
GO_NEGATIVE_REGULATION_OF_ERK1_AND_ERK2_CASCADE	51	0.55326	0.98002	1	0.44674	0.020979	0.1066	0.31391	0.043956	0.37141	21	0.29623	0.13487	0.84663	30	0.32629	0.098901	0.37976
GO_STEROID_BIOSYNTHETIC_PROCESS	108	0.63475	1	1	0.36525	0.000999	0.013594	0.34476	0.10889	0.49139	39	0.46589	0.97502	1	69	0.27629	0.000999	0.030556
GO_ALDITOL_PHOSPHATE_METABOLIC_PROCESS	34	0.36817	0.055944	0.6548	0.63183	0.94505	1	0.36782	0.42158	0.76363	23	0.33786	0.32867	0.97047	11	0.43046	0.62138	0.82435
GO_SODIUM_INDEPENDENT_ORGANIC_ANION_TRANSPORT	22	0.53642	0.83616	1	0.46358	0.16484	0.38668	0.32404	0.2018	0.58932	12	0.44714	0.8032	1	10	0.17631	0.008991	0.11558
GO_REGULATION_OF_PROTEIN_TYROSINE_KINASE_ACTIVITY	59	0.43888	0.33966	1	0.56112	0.66134	0.86285	0.41723	0.81818	0.93422	35	0.40577	0.74525	1	24	0.43394	0.69231	0.86368
GO_REGULATION_OF_INTERFERON_BETA_PRODUCTION	43	0.42567	0.25175	1	0.57433	0.74925	0.92043	0.42528	0.81518	0.93386	23	0.3238	0.24875	0.95895	20	0.54199	0.97602	0.99831
GO_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION	86	0.4447	0.33966	1	0.5553	0.66134	0.86285	0.47926	0.998	0.99913	46	0.40984	0.81419	1	40	0.5591	1	1
GO_N_GLYCAN_PROCESSING	19	0.62946	0.98302	1	0.37054	0.017982	0.097278	0.33146	0.24376	0.6342	7	0.44408	0.77123	1	12	0.26576	0.05994	0.31201
GO_INORGANIC_ION_IMPORT_INTO_CELL	15	0.58785	0.93107	1	0.41215	0.06993	0.23064	0.28264	0.091908	0.47101	7	0.41965	0.70929	1	8	0.16276	0.011988	0.13392
GO_ENDOPLASMIC_RETICULUM_TO_CYTOSOL_TRANSPORT	22	0.42907	0.34665	1	0.57093	0.65435	0.8598	0.46794	0.9011	0.96646	13	0.42977	0.76523	1	9	0.52309	0.88012	0.95967
GO_NEGATIVE_REGULATION_OF_REPRODUCTIVE_PROCESS	50	0.45039	0.42957	1	0.54961	0.57143	0.79712	0.40379	0.71828	0.90136	26	0.33131	0.29171	0.95895	24	0.48231	0.9011	0.96764
GO_G_PROTEIN_COUPLED_PURINERGIC_RECEPTOR_SIGNALING_PATHWAY	19	0.45393	0.46853	1	0.54607	0.53247	0.76814	0.49711	0.94705	0.97951	10	0.43473	0.77922	1	9	0.56642	0.94006	0.98167
GO_MEMBRANE_DEPOLARIZATION	56	0.46832	0.54645	1	0.53168	0.45455	0.70013	0.40537	0.71828	0.90136	31	0.40568	0.78422	1	25	0.40498	0.53746	0.78024
GO_OLFACTORY_BULB_INTERNEURON_DIFFERENTIATION	13	0.39744	0.24176	1	0.60256	0.75924	0.92859	0.46525	0.81618	0.93386	9	0.46566	0.81319	1	4	0.46434	0.65235	0.84177
GO_POSITIVE_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY	21	0.55554	0.8971	1	0.44446	0.1039	0.29487	0.46254	0.86713	0.95402	10	0.55231	0.97203	1	11	0.38093	0.42358	0.70543
GO_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE	12	0.32871	0.090909	0.8384	0.67129	0.91009	1	0.27771	0.11988	0.50938	9	0.29009	0.22577	0.95731	3	0.24057	0.1998	0.52371
GO_REGULATION_OF_LYASE_ACTIVITY	78	0.54271	0.98202	1	0.45729	0.018981	0.10012	0.3912	0.6004	0.84632	37	0.44833	0.92907	1	41	0.33964	0.11788	0.40749
GO_RESPONSE_TO_NITROGEN_COMPOUND	800	0.51666	1	1	0.48334	0.000999	0.013594	0.35694	0.00999	0.20422	389	0.37301	0.63337	1	411	0.34172	0.000999	0.030556
GO_NEGATIVE_REGULATION_OF_TRANSMEMBRANE_TRANSPORT	81	0.52096	0.97103	1	0.47904	0.02997	0.13664	0.39239	0.63736	0.86016	38	0.3971	0.72128	1	43	0.38823	0.40859	0.69456
GO_REGULATION_OF_DNA_RECOMBINATION	52	0.39998	0.11089	0.94235	0.60002	0.89011	1	0.38391	0.51049	0.80531	30	0.29269	0.077922	0.77728	22	0.5083	0.94406	0.98422
GO_REGULATION_OF_LEUKOCYTE_PROLIFERATION	198	0.39436	0.003996	0.13849	0.60564	0.997	1	0.36288	0.20979	0.60157	130	0.35391	0.3047	0.95895	68	0.38003	0.27872	0.59117
GO_RESPONSE_TO_ETHANOL	129	0.56637	1	1	0.43363	0.000999	0.013594	0.35574	0.17083	0.55923	54	0.389	0.68132	1	75	0.33178	0.027972	0.2078
GO_SULFUR_COMPOUND_METABOLIC_PROCESS	343	0.57587	1	1	0.42413	0.000999	0.013594	0.3622	0.11588	0.50152	139	0.4003	0.89411	1	204	0.33624	0.001998	0.046393
GO_POSITIVE_REGULATION_OF_TYROSINE_PHOSPHORYLATION_OF_STAT1_PROTEIN	10	0.45391	0.48651	1	0.54609	0.51449	0.75248	0.23969	0.074925	0.43675	5	0.14751	0.050949	0.70258	5	0.33186	0.34665	0.65144
GO_REGULATION_OF_CELL_CYCLE_CHECKPOINT	27	0.34991	0.050949	0.61751	0.65009	0.95005	1	0.33359	0.18781	0.57497	21	0.37863	0.56144	1	6	0.17598	0.034965	0.23894
GO_NEGATIVE_REGULATION_OF_TRANSCRIPTION_REGULATORY_REGION_DNA_BINDING	17	0.5476	0.85415	1	0.4524	0.14685	0.36373	0.251	0.037962	0.35156	7	0.20609	0.078921	0.77728	10	0.28243	0.12088	0.41302
GO_POSITIVE_REGULATION_OF_DNA_REPLICATION	85	0.40058	0.05994	0.6783	0.59942	0.94106	1	0.39884	0.70529	0.89723	53	0.3585	0.37762	0.99148	32	0.46567	0.88312	0.96066
GO_NEGATIVE_REGULATION_OF_NEURON_APOPTOTIC_PROCESS	130	0.51632	0.97502	1	0.48368	0.025974	0.12363	0.37901	0.47453	0.78839	59	0.35182	0.35764	0.98025	71	0.40161	0.53846	0.78042
GO_POSITIVE_REGULATION_OF_REPRODUCTIVE_PROCESS	46	0.47455	0.62238	1	0.52545	0.37862	0.63094	0.42855	0.84316	0.94427	24	0.40359	0.70629	1	22	0.45578	0.82018	0.93054
GO_POSITIVE_REGULATION_OF_METANEPHROS_DEVELOPMENT	14	0.54928	0.83317	1	0.45072	0.16783	0.38938	0.31637	0.20579	0.59628	6	0.31741	0.36064	0.9836	8	0.31558	0.21678	0.53892
GO_POSITIVE_REGULATION_OF_LYMPHOCYTE_APOPTOTIC_PROCESS	18	0.34654	0.074925	0.76582	0.65346	0.92607	1	0.30371	0.14286	0.52652	13	0.30547	0.22977	0.95731	5	0.29911	0.27473	0.58747
GO_NUCLEOTIDE_PHOSPHORYLATION	55	0.4819	0.70529	1	0.5181	0.2957	0.54656	0.33959	0.14785	0.53207	29	0.33942	0.30969	0.95895	26	0.33979	0.17383	0.48455
GO_POSITIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC	73	0.37469	0.018981	0.3583	0.62531	0.98202	1	0.40675	0.72727	0.90496	45	0.31553	0.10689	0.82972	28	0.55336	0.997	1
GO_GLUTAMATE_SECRETION	27	0.60701	0.98801	1	0.39299	0.012987	0.078381	0.27255	0.020979	0.28373	11	0.36989	0.51948	1	16	0.20563	0.006993	0.10037
GO_REGULATION_OF_MRNA_METABOLIC_PROCESS	113	0.46631	0.58442	1	0.53369	0.41658	0.66617	0.38005	0.48352	0.79457	58	0.33044	0.18581	0.92502	55	0.43237	0.79421	0.92135
GO_POSITIVE_REGULATION_OF_PROTEIN_BINDING	73	0.51238	0.89211	1	0.48762	0.10889	0.30228	0.40805	0.73826	0.90869	33	0.37266	0.53347	1	40	0.43725	0.76623	0.90887
GO_REGULATION_OF_NFAT_PROTEIN_IMPORT_INTO_NUCLEUS	16	0.5843	0.91209	1	0.4157	0.088911	0.27033	0.48268	0.90509	0.96724	8	0.65128	0.98801	1	8	0.31409	0.21079	0.53635
