Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
11	GO_NUCLEOSIDE_DIPHOSPHATE_METABOLIC_PROCESS	78	0.73427	0.71129	1	-0.73427	0.28971	0.38707	5.5248	0.22478	0.57698	43	3.6163	0.6024	0.999	35	4.2393	0.096903	0.24489
12	GO_PHOSPHATIDYLETHANOLAMINE_METABOLIC_PROCESS	16	-0.72278	0.84016	1	0.72278	0.16084	0.24502	1.9422	0.53946	0.78645	6	1.5553	0.46154	0.999	10	1.252	0.54645	0.69317
13	GO_PHOSPHATIDYLCHOLINE_METABOLIC_PROCESS	62	2.5683	0.22278	1	-2.5683	0.77822	0.82639	4.9925	0.24176	0.59258	39	3.9629	0.40959	0.999	23	3.0366	0.20779	0.39805
14	GO_PURINE_DEOXYRIBONUCLEOTIDE_METABOLIC_PROCESS	14	2.9556	0.075924	1	-2.9556	0.92507	0.94537	2.2885	0.38162	0.72231	11	2.2463	0.41159	0.999	3	0.64232	0.52847	0.68096
15	GO_NEGATIVE_REGULATION_OF_CYCLIC_NUCLEOTIDE_METABOLIC_PROCESS	37	-0.92793	0.91109	1	0.92793	0.08991	0.15681	2.0098	0.8012	0.8846	15	1.2637	0.79421	0.999	22	1.563	0.66733	0.77091
16	GO_REGULATION_OF_TRIGLYCERIDE_METABOLIC_PROCESS	33	-5.1722	1	1	5.1722	0.000999	0.0065135	4.0956	0.2008	0.55984	8	1.2388	0.62238	0.999	25	4.0048	0.078921	0.22972
17	GO_NITRIC_OXIDE_METABOLIC_PROCESS	15	-4.1912	1	1	4.1912	0.000999	0.0065135	3.7811	0.090909	0.45978	2	1.1263	0.39361	0.999	13	3.6197	0.041958	0.16887
18	GO_SEROTONIN_METABOLIC_PROCESS	11	-2.3106	0.97602	1	2.3106	0.024975	0.057744	0.31427	0.89011	0.93318	2	-1.0271	0.93606	0.999	9	0.83164	0.67532	0.77091
19	GO_KERATAN_SULFATE_METABOLIC_PROCESS	31	0.19132	0.71129	1	-0.19132	0.28971	0.38707	2.0594	0.72827	0.84792	15	1.7659	0.65634	0.999	16	1.1567	0.66933	0.77091
20	GO_ENERGY_RESERVE_METABOLIC_PROCESS	67	-5.1717	1	1	5.1717	0.000999	0.0065135	4.1409	0.48452	0.76095	22	-0.1419	0.99001	0.999	45	5.1519	0.041958	0.16887
21	GO_GLYCOLIPID_BIOSYNTHETIC_PROCESS	59	-2.2975	0.99401	1	2.2975	0.006993	0.023747	4.3002	0.39161	0.72231	25	1.5345	0.86414	0.999	34	4.3489	0.071928	0.22121
22	GO_NEGATIVE_REGULATION_OF_LIPID_METABOLIC_PROCESS	76	-1.8556	0.99101	1	1.8556	0.00999	0.030155	5.9912	0.11489	0.46865	34	3.2392	0.57043	0.999	42	5.1448	0.020979	0.11792
23	GO_NITROGEN_CYCLE_METABOLIC_PROCESS	15	-2.5738	0.98302	1	2.5738	0.017982	0.046159	2.5034	0.34665	0.70394	4	0.78435	0.63437	0.999	11	2.4503	0.22078	0.41603
24	GO_NADP_METABOLIC_PROCESS	27	0.56958	0.59141	1	-0.56958	0.40959	0.50578	5.1295	0.021978	0.23883	13	4.3274	0.063936	0.94742	14	2.9535	0.15485	0.34813
25	GO_FATTY_ACID_BETA_OXIDATION	51	-9.1965	1	1	9.1965	0.000999	0.0065135	8.834	0.000999	0.054279	9	1.7491	0.4955	0.999	42	8.925	0.000999	0.020355
26	GO_POSITIVE_REGULATION_OF_LIPID_KINASE_ACTIVITY	32	1.8317	0.29371	1	-1.8317	0.70729	0.77879	4.8424	0.061938	0.42537	21	3.2119	0.32967	0.999	11	3.8213	0.042957	0.17078
27	GO_GLUCOCORTICOID_METABOLIC_PROCESS	15	-2.9038	0.99101	1	2.9038	0.00999	0.030155	2.3396	0.39261	0.72231	5	-0.21542	0.89011	0.999	10	3.0177	0.095904	0.24426
28	GO_INDOLALKYLAMINE_METABOLIC_PROCESS	16	-1.3558	0.91608	1	1.3558	0.084915	0.15294	3.6571	0.11688	0.46865	6	2.1879	0.27273	0.999	10	2.9311	0.1039	0.25659
29	GO_POSITIVE_REGULATION_OF_CELLULAR_AMIDE_METABOLIC_PROCESS	99	-0.68473	0.95105	1	0.68473	0.04995	0.10114	6.8338	0.084915	0.44649	52	3.6156	0.69131	0.999	47	6.1151	0.004995	0.056151
30	GO_COENZYME_A_METABOLIC_PROCESS	17	-3.1186	0.998	1	3.1186	0.002997	0.013761	3.4526	0.13886	0.50237	5	0.66372	0.69131	0.999	12	3.681	0.033966	0.15168
31	GO_MITOCHONDRIAL_DNA_METABOLIC_PROCESS	10	0.7523	0.41459	1	-0.7523	0.58641	0.67552	-0.78774	0.96803	0.98307	5	0.48295	0.74725	0.999	5	-1.597	0.99001	0.99001
32	GO_CGMP_METABOLIC_PROCESS	23	-1.927	0.97303	1	1.927	0.027972	0.063326	2.6457	0.44655	0.75039	8	1.2387	0.62238	0.999	15	2.3715	0.28871	0.50064
33	GO_SPHINGOLIPID_MEDIATED_SIGNALING_PATHWAY	11	1.4027	0.28771	1	-1.4027	0.71329	0.77879	1.371	0.62238	0.81546	6	2.061	0.30769	0.999	5	-0.22411	0.84615	0.88412
34	GO_BETA_AMYLOID_METABOLIC_PROCESS	13	-1.8541	0.95005	1	1.8541	0.050949	0.1019	1.6567	0.55245	0.78645	6	-0.4463	0.93506	0.999	7	2.671	0.1039	0.25659
35	GO_SNORNA_METABOLIC_PROCESS	10	3.1256	0.032967	1	-3.1256	0.96803	0.97702	1.2409	0.63137	0.81546	9	1.7308	0.4985	0.999	1	-1.2681	0.93007	0.93871
36	GO_NEGATIVE_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS	40	-3.3788	0.999	1	3.3788	0.001998	0.010021	5.9523	0.017982	0.21712	12	3.4944	0.13187	0.999	28	4.8267	0.026973	0.13323
37	GO_PHOSPHOLIPID_DEPHOSPHORYLATION	24	0.88481	0.5045	1	-0.88481	0.4965	0.59507	4.1557	0.11189	0.46865	11	4.2704	0.044955	0.8399	13	1.7183	0.44755	0.63443
38	GO_POSITIVE_REGULATION_OF_CELLULAR_AMINE_METABOLIC_PROCESS	13	-2.0639	0.96603	1	2.0639	0.034965	0.076501	2.2787	0.37063	0.7192	4	0.59572	0.69031	0.999	9	2.3415	0.1998	0.39393
39	GO_INOSITOL_PHOSPHATE_METABOLIC_PROCESS	56	0.42405	0.73127	1	-0.42405	0.26973	0.36928	5.3949	0.13986	0.50237	26	4.8698	0.070929	0.99059	30	2.8374	0.35664	0.54585
40	GO_GLUTAMATE_METABOLIC_PROCESS	28	-2.2986	0.99101	1	2.2986	0.00999	0.030155	3.9553	0.18282	0.53504	12	1.4093	0.6963	0.999	16	4.0118	0.032967	0.15137
41	GO_SPHINGOMYELIN_METABOLIC_PROCESS	13	-1.3913	0.91209	1	1.3913	0.088911	0.15681	1.6281	0.56444	0.78774	3	1.8507	0.25674	0.999	10	0.84263	0.66034	0.77091
42	GO_POLYOL_METABOLIC_PROCESS	93	-0.98834	0.96004	1	0.98834	0.040959	0.087846	6.0021	0.20779	0.55984	37	5.4071	0.072927	0.99059	56	3.3397	0.44955	0.63443
43	GO_PYRIMIDINE_RIBONUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS	14	1.8624	0.22777	1	-1.8624	0.77323	0.82376	3.2961	0.15285	0.51592	10	2.5915	0.28571	0.999	4	2.069	0.15784	0.35004
44	GO_HEME_METABOLIC_PROCESS	29	-2.3238	0.98501	1	2.3238	0.015984	0.042364	2.8961	0.43856	0.74464	12	0.28299	0.91209	0.999	17	3.5448	0.075924	0.22708
45	GO_C21_STEROID_HORMONE_METABOLIC_PROCESS	22	-1.6971	0.94705	1	1.6971	0.053946	0.10723	4.4018	0.070929	0.4282	10	1.8066	0.5045	0.999	12	4.3109	0.008991	0.073277
46	GO_NEGATIVE_REGULATION_OF_STEROID_METABOLIC_PROCESS	23	-0.6452	0.85115	1	0.6452	0.14985	0.23374	2.7334	0.42358	0.73061	9	2.2998	0.34765	0.999	14	1.6596	0.51948	0.6774
47	GO_IMP_METABOLIC_PROCESS	14	0.13518	0.67632	1	-0.13518	0.32468	0.42338	0.48733	0.88511	0.93318	7	0.54198	0.77423	0.999	7	0.1472	0.78322	0.85394
48	GO_OXIDATIVE_DEMETHYLATION	12	-3.6433	0.999	1	3.6433	0.001998	0.010021	3.81	0.050949	0.41305	4	0.082091	0.82018	0.999	8	4.6082	0.005994	0.059214
49	GO_MULTICELLULAR_ORGANISMAL_MACROMOLECULE_METABOLIC_PROCESS	72	-2.1874	0.99201	1	2.1874	0.008991	0.028736	4.4805	0.48352	0.76095	29	2.16	0.75524	0.999	43	4.0239	0.15984	0.35208
50	GO_PYRIMIDINE_NUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS	14	-0.25562	0.75924	1	0.25562	0.24176	0.33971	2.8982	0.24176	0.59258	6	2.358	0.21878	0.999	8	1.7919	0.31868	0.51945
51	GO_NEGATIVE_REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS	42	-0.44874	0.87213	1	0.44874	0.12887	0.20959	4.6722	0.15984	0.51592	21	2.5761	0.55445	0.999	21	4.0314	0.062937	0.20517
52	GO_SUPEROXIDE_METABOLIC_PROCESS	30	1.0551	0.47353	1	-1.0551	0.52747	0.62758	2.9442	0.45455	0.75461	16	2.7168	0.3966	0.999	14	1.4055	0.59341	0.72726
53	GO_POSITIVE_REGULATION_OF_MRNA_METABOLIC_PROCESS	42	1.479	0.39461	1	-1.479	0.60639	0.68516	3.294	0.52947	0.78398	22	3.5941	0.26074	0.999	20	1.004	0.78022	0.85394
54	GO_NUCLEOSIDE_BISPHOSPHATE_METABOLIC_PROCESS	37	-2.7335	0.997	1	2.7335	0.003996	0.017141	4.6667	0.12088	0.47478	15	1.5544	0.72827	0.999	22	4.7685	0.010989	0.079609
55	GO_GANGLIOSIDE_METABOLIC_PROCESS	24	-0.32629	0.8012	1	0.32629	0.1998	0.28949	1.9115	0.72527	0.84792	10	1.5811	0.57542	0.999	14	1.1664	0.66533	0.77091
56	GO_THYROID_HORMONE_METABOLIC_PROCESS	15	-1.1907	0.8981	1	1.1907	0.1029	0.17115	2.6913	0.29271	0.65578	7	1.0501	0.62937	0.999	8	2.7029	0.10689	0.26201
57	GO_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	87	-3.9998	0.999	1	3.9998	0.001998	0.010021	8.7743	0.003996	0.10021	32	4.9871	0.085914	0.999	55	7.2315	0.000999	0.020355
58	GO_POLYSACCHARIDE_METABOLIC_PROCESS	77	-4.8174	1	1	4.8174	0.000999	0.0065135	4.7702	0.43057	0.73877	31	-0.36519	0.998	0.999	46	6.4714	0.003996	0.048248
59	GO_CYCLIC_NUCLEOTIDE_METABOLIC_PROCESS	56	0.068588	0.8032	1	-0.068588	0.1978	0.28787	3.4367	0.66533	0.81839	25	3.2189	0.43157	0.999	31	1.7284	0.6983	0.79012
60	GO_RETINOL_METABOLIC_PROCESS	28	-1.7214	0.97103	1	1.7214	0.02997	0.066015	2.3957	0.63836	0.81546	11	0.95559	0.77323	0.999	17	2.3059	0.32667	0.52721
61	GO_OXALOACETATE_METABOLIC_PROCESS	11	-4.7755	1	1	4.7755	0.000999	0.0065135	3.0984	0.15884	0.51592	2	-1.8016	0.98302	0.999	9	4.2747	0.010989	0.079609
62	GO_PROTEIN_LIPID_COMPLEX_ASSEMBLY	21	0.052642	0.7033	1	-0.052642	0.2977	0.39452	1.0107	0.85514	0.9231	10	1.114	0.7013	0.999	11	0.33433	0.82018	0.86811
63	GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_OXIDATIVE_STRESS	33	-2.1454	0.98501	1	2.1454	0.015984	0.042364	5.1399	0.047952	0.40918	16	1.6601	0.70729	0.999	17	5.5506	0.000999	0.020355
64	GO_REGULATION_OF_MEMBRANE_LIPID_METABOLIC_PROCESS	12	0.43617	0.55944	1	-0.43617	0.44156	0.53913	3.4924	0.081918	0.44649	6	2.8283	0.12787	0.999	6	2.1108	0.1988	0.39393
65	GO_CATECHOLAMINE_METABOLIC_PROCESS	40	-3.5267	0.999	1	3.5267	0.001998	0.010021	2.834	0.65035	0.81839	14	-0.42744	0.98202	0.999	26	3.8288	0.08991	0.24224
66	GO_PYRIMIDINE_RIBONUCLEOSIDE_METABOLIC_PROCESS	30	1.7417	0.29071	1	-1.7417	0.71029	0.77879	3.3567	0.32268	0.68753	16	3.9429	0.11489	0.999	14	0.69847	0.79221	0.85801
67	GO_NEGATIVE_REGULATION_OF_NITRIC_OXIDE_METABOLIC_PROCESS	11	-1.0447	0.87113	1	1.0447	0.12987	0.20959	0.9494	0.74026	0.84949	3	0.89581	0.53247	0.999	8	0.5647	0.71129	0.79411
68	GO_ACETYL_COA_METABOLIC_PROCESS	23	-1.9053	0.97203	1	1.9053	0.028971	0.064689	2.3483	0.54845	0.78645	9	0.3266	0.86713	0.999	14	2.7481	0.2018	0.39393
69	GO_CREATINE_METABOLIC_PROCESS	11	-0.94559	0.85315	1	0.94559	0.14785	0.23374	3.5694	0.091908	0.45978	5	2.1863	0.24476	0.999	6	2.8372	0.083916	0.23788
70	GO_CELLULAR_KETONE_METABOLIC_PROCESS	63	-3.6791	1	1	3.6791	0.000999	0.0065135	5.5697	0.14486	0.50237	26	1.3647	0.8981	0.999	37	6.1237	0.001998	0.025052
71	GO_MEMBRANE_LIPID_CATABOLIC_PROCESS	21	-0.33499	0.77522	1	0.33499	0.22577	0.32001	1.991	0.62038	0.81546	8	1.8716	0.41658	0.999	13	1.0624	0.66034	0.77091
72	GO_THIOESTER_METABOLIC_PROCESS	76	-2.888	1	1	2.888	0.000999	0.0065135	3.0833	0.88012	0.93318	29	1.2033	0.92607	0.999	47	2.9756	0.5005	0.66711
73	GO_PURINE_RIBONUCLEOSIDE_BISPHOSPHATE_METABOLIC_PROCESS	20	-0.84283	0.88711	1	0.84283	0.11389	0.18657	3.1643	0.24975	0.6031	10	1.4345	0.61738	0.999	10	3.0404	0.090909	0.24292
74	GO_POSITIVE_REGULATION_OF_HORMONE_METABOLIC_PROCESS	11	-1.6624	0.94505	1	1.6624	0.055944	0.10921	1.9892	0.44256	0.74753	3	0.66948	0.59241	0.999	8	1.9226	0.28671	0.49983
75	GO_PHOSPHATIDYLGLYCEROL_METABOLIC_PROCESS	31	4.0176	0.021978	1	-4.0176	0.97902	0.98504	3.158	0.40659	0.72353	24	3.0051	0.44456	0.999	7	1.0813	0.50749	0.66711
76	GO_REGULATION_OF_MEMBRANE_LIPID_DISTRIBUTION	36	-0.12692	0.7992	1	0.12692	0.2018	0.29109	3.598	0.34765	0.70394	18	2.6151	0.46054	0.999	18	2.4733	0.3047	0.50918
77	GO_POSITIVE_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS	66	-3.1533	1	1	3.1533	0.000999	0.0065135	3.7919	0.63037	0.81546	24	1.5244	0.86713	0.999	42	3.6011	0.24875	0.45303
78	GO_REGULATION_OF_CELLULAR_AMINE_METABOLIC_PROCESS	87	0.66018	0.75624	1	-0.66018	0.24476	0.34245	2.312	0.98002	0.98607	46	1.9113	0.94805	0.999	41	1.3434	0.87512	0.90857
79	GO_POSITIVE_REGULATION_OF_LIPID_TRANSPORT	50	-1.6854	0.98102	1	1.6854	0.01998	0.049345	4.2405	0.33467	0.69491	23	1.8003	0.78621	0.999	27	4.109	0.060939	0.20396
80	GO_PYRIMIDINE_NUCLEOBASE_METABOLIC_PROCESS	19	-2.4431	0.98701	1	2.4431	0.013986	0.039647	1.4459	0.74525	0.84949	5	0.33328	0.77922	0.999	14	1.4852	0.58042	0.72069
81	GO_REGULATION_OF_PHOSPHOLIPID_METABOLIC_PROCESS	58	1.6905	0.4006	1	-1.6905	0.6004	0.68437	6.4383	0.012987	0.18408	35	4.5153	0.23077	0.999	23	4.6541	0.018981	0.1105
82	GO_POSITIVE_REGULATION_OF_NUCLEOSIDE_METABOLIC_PROCESS	21	-3.0387	0.99401	1	3.0387	0.006993	0.023747	1.0561	0.84615	0.91751	6	-1.0319	0.97203	0.999	15	1.9022	0.43956	0.62849
83	GO_REGULATION_OF_VITAMIN_METABOLIC_PROCESS	12	2.5828	0.08991	1	-2.5828	0.91109	0.93503	3.9124	0.043956	0.38729	8	3.768	0.052947	0.86304	4	1.4478	0.3017	0.50698
84	GO_LIPID_DIGESTION	19	0.15209	0.65335	1	-0.15209	0.34765	0.44271	3.5288	0.16384	0.52171	9	2.7582	0.22977	0.999	10	2.2474	0.24775	0.45303
85	GO_NAD_METABOLIC_PROCESS	48	-1.4451	0.96104	1	1.4451	0.03996	0.086846	5.4853	0.095904	0.45978	22	2.9262	0.45854	0.999	26	4.7614	0.021978	0.12144
86	GO_DICARBOXYLIC_ACID_METABOLIC_PROCESS	97	-6.0528	1	1	6.0528	0.000999	0.0065135	7.2395	0.055944	0.41449	35	1.6182	0.93706	0.999	62	7.8394	0.000999	0.020355
87	GO_FATTY_ACID_BETA_OXIDATION_USING_ACYL_COA_DEHYDROGENASE	18	-6.7483	1	1	6.7483	0.000999	0.0065135	6.3396	0.002997	0.097702	2	1.0223	0.42557	0.999	16	6.3627	0.000999	0.020355
88	GO_GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS	64	-2.3088	0.99401	1	2.3088	0.006993	0.023747	4.2162	0.51149	0.76841	26	1.9958	0.8002	0.999	38	3.8208	0.18282	0.387
89	GO_ADP_METABOLIC_PROCESS	43	-0.64863	0.9001	1	0.64863	0.1009	0.16868	4.6548	0.17682	0.53504	24	1.9671	0.75125	0.999	19	4.7919	0.010989	0.079609
90	GO_GLUCOSAMINE_CONTAINING_COMPOUND_METABOLIC_PROCESS	25	1.9105	0.24276	1	-1.9105	0.75824	0.81311	5.3075	0.022977	0.24163	16	3.7478	0.15185	0.999	9	3.8487	0.024975	0.12924
91	GO_GLUCOSE_6_PHOSPHATE_METABOLIC_PROCESS	21	3.3294	0.042957	1	-3.3294	0.95804	0.97296	5.7126	0.006993	0.14248	14	5.1062	0.013986	0.61878	7	2.6733	0.1039	0.25659
92	GO_REGULATION_OF_FATTY_ACID_METABOLIC_PROCESS	85	-3.2489	1	1	3.2489	0.000999	0.0065135	4.3426	0.63836	0.81546	29	2.7293	0.61938	0.999	56	3.3861	0.43656	0.62696
93	GO_GLUTAMINE_METABOLIC_PROCESS	22	-0.049866	0.72428	1	0.049866	0.27672	0.37588	0.86944	0.89211	0.93318	10	0.91109	0.75125	0.999	12	0.34552	0.82517	0.87057
94	GO_POSITIVE_REGULATION_OF_FATTY_ACID_BIOSYNTHETIC_PROCESS	17	-1.6711	0.94306	1	1.6711	0.057942	0.11111	-0.095208	0.97403	0.98307	5	0.1419	0.82617	0.999	12	-0.20491	0.92308	0.93454
95	GO_PORPHYRIN_CONTAINING_COMPOUND_METABOLIC_PROCESS	36	-2.6949	0.99201	1	2.6949	0.008991	0.028736	4.454	0.15684	0.51592	15	1.225	0.8022	0.999	21	4.7964	0.017982	0.1105
96	GO_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_METABOLIC_PROCESS	19	-0.22769	0.74126	1	0.22769	0.25974	0.36032	2.1453	0.56444	0.78774	9	1.2532	0.64635	0.999	10	1.7682	0.38961	0.58802
97	GO_HOMOCYSTEINE_METABOLIC_PROCESS	11	-2.5127	0.98102	1	2.5127	0.01998	0.049345	2.7937	0.21878	0.57639	4	0.46402	0.72028	0.999	7	3.1513	0.055944	0.19402
98	GO_GUANOSINE_CONTAINING_COMPOUND_METABOLIC_PROCESS	44	0.34987	0.70529	1	-0.34987	0.2957	0.39347	5.0627	0.084915	0.44649	24	3.4205	0.32268	0.999	20	3.7622	0.061938	0.20396
99	GO_MELANIN_METABOLIC_PROCESS	14	0.48608	0.6014	1	-0.48608	0.3996	0.49721	1.3128	0.68032	0.81839	9	0.41875	0.84815	0.999	5	1.6348	0.28272	0.49552
100	GO_REGULATION_OF_OXIDATIVE_PHOSPHORYLATION	13	-2.5282	0.98601	1	2.5282	0.014985	0.041399	0.50133	0.86613	0.93188	3	-1.2841	0.97403	0.999	10	1.2749	0.53546	0.68725
101	GO_BIOTIN_METABOLIC_PROCESS	14	-3.4387	0.996	1	3.4387	0.004995	0.020612	2.3302	0.37063	0.7192	3	-0.46973	0.88911	0.999	11	2.8741	0.14186	0.32567
102	GO_REGULATION_OF_NUCLEOSIDE_METABOLIC_PROCESS	44	-3.4906	1	1	3.4906	0.000999	0.0065135	3.0049	0.63636	0.81546	16	0.020499	0.97702	0.999	28	3.7514	0.11588	0.27984
103	GO_CITRULLINE_METABOLIC_PROCESS	10	-2.5319	0.98601	1	2.5319	0.014985	0.041399	1.5217	0.54745	0.78645	3	-0.58902	0.9041	0.999	7	2.2043	0.1988	0.39393
104	GO_FATTY_ACYL_COA_METABOLIC_PROCESS	48	-1.4188	0.95904	1	1.4188	0.041958	0.08882	2.095	0.89211	0.93318	22	0.4298	0.96703	0.999	26	2.4512	0.41359	0.60337
105	GO_GPI_ANCHOR_METABOLIC_PROCESS	32	-3.5601	0.999	1	3.5601	0.001998	0.010021	3.9868	0.20979	0.56059	13	0.074831	0.93606	0.999	19	5.112	0.006993	0.059993
106	GO_AMYLOID_PRECURSOR_PROTEIN_METABOLIC_PROCESS	12	1.0049	0.40559	1	-1.0049	0.5954	0.68106	0.9356	0.71229	0.83829	9	0.32961	0.86713	0.999	3	1.3003	0.33866	0.54119
107	GO_POLYAMINE_METABOLIC_PROCESS	14	0.81946	0.5015	1	-0.81946	0.4995	0.59647	2.4646	0.34166	0.70394	7	2.3986	0.24875	0.999	7	1.0869	0.50649	0.66711
108	GO_HYALURONAN_METABOLIC_PROCESS	29	-2.239	0.98302	1	2.239	0.017982	0.046159	4.7309	0.063936	0.42537	10	2.7253	0.25175	0.999	19	3.8676	0.055944	0.19402
109	GO_ALDITOL_METABOLIC_PROCESS	18	-1.2739	0.9011	1	1.2739	0.0999	0.16787	2.9445	0.26374	0.61855	7	1.7855	0.4036	0.999	11	2.3423	0.24875	0.45303
110	GO_GLUCAN_METABOLIC_PROCESS	56	-5.5075	1	1	5.5075	0.000999	0.0065135	4.6075	0.27373	0.63739	19	-0.52779	0.995	0.999	37	6.0466	0.001998	0.025052
111	GO_FATTY_ACID_HOMEOSTASIS	11	-1.2892	0.91009	1	1.2892	0.090909	0.15681	1.2409	0.66933	0.81839	4	0.47081	0.71728	0.999	7	1.1997	0.46553	0.64996
112	GO_NUCLEOTIDE_SUGAR_METABOLIC_PROCESS	33	-0.57248	0.85215	1	0.57248	0.14885	0.23374	2.6705	0.58641	0.80663	16	1.7045	0.69331	0.999	17	2.0671	0.3986	0.59065
113	GO_REGULATION_OF_GLYCOPROTEIN_METABOLIC_PROCESS	39	-1.0705	0.93806	1	1.0705	0.062937	0.1186	2.9595	0.61339	0.81546	17	1.8329	0.7043	0.999	22	2.3292	0.41459	0.60337
114	GO_PYRIMIDINE_NUCLEOTIDE_METABOLIC_PROCESS	43	0.97372	0.56543	1	-0.97372	0.43556	0.53381	4.439	0.21978	0.57639	23	3.6779	0.24575	0.999	20	2.5647	0.29071	0.50144
115	GO_GLYCOLIPID_CATABOLIC_PROCESS	10	0.39165	0.50549	1	-0.39165	0.4955	0.59507	0.088214	0.89211	0.93318	5	0.28571	0.78721	0.999	5	-0.16095	0.83417	0.87722
116	GO_FATTY_ACID_BETA_OXIDATION_USING_ACYL_COA_OXIDASE	13	-2.6419	0.98901	1	2.6419	0.011988	0.034585	4.6729	0.011988	0.18408	4	2.3161	0.20579	0.999	9	4.0721	0.015984	0.10634
117	GO_DERMATAN_SULFATE_PROTEOGLYCAN_METABOLIC_PROCESS	16	-1.1563	0.9011	1	1.1563	0.0999	0.16787	3.7313	0.11089	0.46865	5	3.4316	0.048951	0.8399	11	2.1865	0.28272	0.49552
118	GO_NEGATIVE_REGULATION_OF_NUCLEOSIDE_METABOLIC_PROCESS	17	-2.4431	0.98402	1	2.4431	0.016983	0.044649	2.5063	0.3956	0.72231	5	0.67478	0.68631	0.999	12	2.5476	0.17782	0.38138
119	GO_GLUTATHIONE_DERIVATIVE_METABOLIC_PROCESS	21	-4.5395	1	1	4.5395	0.000999	0.0065135	4.3033	0.068931	0.4282	4	1.092	0.55445	0.999	17	4.2531	0.023976	0.12607
120	GO_SPHINGOID_METABOLIC_PROCESS	13	-2.4459	0.98501	1	2.4459	0.015984	0.042364	2.2619	0.37762	0.71991	1	3.6896	0.014985	0.61878	12	1.2892	0.56444	0.71045
121	GO_GLYCOSYLCERAMIDE_METABOLIC_PROCESS	11	0.71296	0.46454	1	-0.71296	0.53646	0.63595	1.3206	0.64036	0.81546	5	1.9548	0.29271	0.999	6	0.0036322	0.81419	0.8667
