Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
33	GO_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY	119	1.0024	0.73227	1	-1.0024	0.26873	0.52529	5.6449	0.52547	0.82838	59	4.712	0.45155	1	60	3.2772	0.53247	0.78505
34	GO_DENDRITE_DEVELOPMENT	77	1.1745	0.5954	1	-1.1745	0.40559	0.66778	4.4983	0.51548	0.824	38	4.4475	0.26573	0.93616	39	1.9306	0.71728	0.8907
35	GO_REGULATION_OF_RESPIRATORY_BURST	11	-0.26598	0.72428	1	0.26598	0.27672	0.53424	3.2332	0.12787	0.53108	5	2.3402	0.21578	0.92724	6	2.2415	0.17882	0.51455
36	GO_G_PROTEIN_COUPLED_RECEPTOR_INTERNALIZATION	12	-0.46458	0.76923	1	0.46458	0.23177	0.48082	0.83398	0.79221	0.93508	5	0.96327	0.5964	1	7	0.27782	0.75824	0.90976
37	GO_MEMORY	93	-1.0751	0.97502	1	1.0751	0.025974	0.13591	6.903	0.078921	0.47063	43	4.7392	0.25774	0.93616	50	5.0195	0.055944	0.30671
38	GO_REGULATION_OF_GOLGI_ORGANIZATION	11	0.71896	0.46853	1	-0.71896	0.53247	0.77657	1.0656	0.71229	0.89817	6	0.77908	0.68831	1	5	0.72716	0.57043	0.81049
39	GO_ENDOTHELIAL_CELL_DEVELOPMENT	44	-1.5924	0.97403	1	1.5924	0.026973	0.13925	2.0736	0.84416	0.95543	19	0.39027	0.96304	1	25	2.4107	0.43956	0.73469
40	GO_POSITIVE_REGULATION_OF_MYOTUBE_DIFFERENTIATION	26	0.93484	0.4965	1	-0.93484	0.5045	0.75908	2.587	0.51948	0.82694	15	2.0025	0.57443	1	11	1.6389	0.47253	0.75401
41	GO_REGULATION_OF_CELL_ACTIVATION	440	4.1539	0.41758	1	-4.1539	0.58342	0.81436	12.239	0.13586	0.54782	251	9.96	0.31269	0.9564	189	7.1962	0.17383	0.50708
42	GO_MULTICELLULAR_ORGANISM_AGING	29	0.6109	0.58442	1	-0.6109	0.41658	0.67847	1.4603	0.85215	0.9569	17	0.6307	0.91708	1	12	1.5194	0.48551	0.76179
43	GO_ATP_DEPENDENT_CHROMATIN_REMODELING	66	9.4417	0.000999	0.054151	-9.4417	1	1	6.7895	0.025974	0.32017	53	7.9225	0.001998	0.30141	13	-0.69841	0.96703	0.99564
44	GO_LIPID_MODIFICATION	196	-5.2391	1	1	5.2391	0.000999	0.014666	10.577	0.000999	0.063997	74	5.8677	0.28671	0.94136	122	8.8363	0.000999	0.033514
45	GO_NEGATIVE_REGULATION_OF_KIDNEY_DEVELOPMENT	17	1.3884	0.31369	1	-1.3884	0.68731	0.89051	4.9092	0.01998	0.28347	9	4.2936	0.038961	0.63086	8	2.6023	0.12288	0.44092
46	GO_REGULATION_OF_HEPATOCYTE_PROLIFERATION	12	-0.26247	0.72228	1	0.26247	0.27872	0.53663	5.2113	0.003996	0.11898	5	3.9158	0.022977	0.59543	7	3.5138	0.024975	0.20988
47	GO_ACYLGLYCEROL_HOMEOSTASIS	28	-3.9558	0.999	1	3.9558	0.001998	0.024415	1.8839	0.76124	0.92274	6	-0.057312	0.89011	1	22	2.1553	0.44755	0.73697
48	GO_NEGATIVE_REGULATION_OF_PHOSPHOPROTEIN_PHOSPHATASE_ACTIVITY	14	-0.31621	0.74725	1	0.31621	0.25375	0.50845	2.1437	0.42757	0.78565	6	1.7422	0.37762	0.97857	8	1.327	0.44755	0.73697
49	GO_NEGATIVE_REGULATION_OF_PROTEIN_COMPLEX_ASSEMBLY	100	0.69559	0.76324	1	-0.69559	0.23776	0.48942	4.4555	0.73027	0.90731	50	3.8591	0.58841	1	50	2.4419	0.7013	0.88173
50	GO_HEMOGLOBIN_METABOLIC_PROCESS	11	-4.2658	0.999	1	4.2658	0.001998	0.024415	3.7339	0.05994	0.42308	3	-0.35088	0.85614	1	8	4.5933	0.006993	0.1071
51	GO_SINGLE_FERTILIZATION	92	3.7807	0.056943	0.68787	-3.7807	0.94406	1	3.7753	0.83716	0.95339	59	3.636	0.75624	1	33	1.4418	0.80819	0.93595
52	GO_LEUKOCYTE_ACTIVATION	385	4.132	0.32867	1	-4.132	0.67233	0.88088	8.207	0.92907	0.97885	229	6.7944	0.95005	1	156	4.661	0.74625	0.90696
53	GO_REGULATION_OF_MITOCHONDRIAL_DEPOLARIZATION	17	-0.46816	0.79121	1	0.46816	0.20979	0.45958	3.5261	0.12987	0.5357	8	2.1871	0.35664	0.97506	9	2.7842	0.12987	0.44923
54	GO_NEGATIVE_REGULATION_OF_MAP_KINASE_ACTIVITY	72	0.79468	0.68332	1	-0.79468	0.31768	0.58373	4.5007	0.44356	0.79196	35	4.0833	0.32767	0.96843	37	2.3069	0.62438	0.84213
55	GO_SYNAPTIC_VESICLE_LOCALIZATION	100	2.9215	0.21079	1	-2.9215	0.79021	0.95574	7.7523	0.020979	0.29177	53	7.2994	0.008991	0.47952	47	3.5566	0.2987	0.6291
56	GO_PHENOL_CONTAINING_COMPOUND_METABOLIC_PROCESS	77	-3.2268	1	1	3.2268	0.000999	0.014666	4.0779	0.64835	0.8786	32	0.64988	0.98202	1	45	4.7862	0.051948	0.29435
57	GO_REGULATION_OF_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY	38	1.9727	0.28472	1	-1.9727	0.71628	0.90863	0.98574	0.95904	0.98793	24	1.609	0.85714	1	14	-0.48263	0.95405	0.9914
58	GO_ESTABLISHMENT_OF_SPINDLE_ORIENTATION	25	1.8655	0.25774	1	-1.8655	0.74326	0.92726	2.3277	0.59241	0.86072	15	2.6956	0.35365	0.97422	10	0.37898	0.78621	0.92289
59	GO_METANEPHRIC_NEPHRON_MORPHOGENESIS	21	0.74826	0.51249	1	-0.74826	0.48851	0.74618	3.0641	0.32667	0.71638	10	3.0075	0.18681	0.91756	11	1.366	0.56344	0.80631
60	GO_GLYCERALDEHYDE_3_PHOSPHATE_METABOLIC_PROCESS	16	2.2059	0.15984	1	-2.2059	0.84116	0.98407	5.6273	0.004995	0.13714	10	4.4244	0.033966	0.62652	6	3.4776	0.027972	0.22564
61	GO_RESPONSE_TO_UV_C	11	-1.0309	0.87113	1	1.0309	0.12987	0.35494	3.1642	0.13786	0.54782	3	3.2633	0.044955	0.63086	8	1.7121	0.31568	0.64464
62	GO_CARBOHYDRATE_CATABOLIC_PROCESS	105	-2.9129	1	1	2.9129	0.000999	0.014666	6.0747	0.28172	0.68742	44	2.7861	0.80719	1	61	5.6037	0.031968	0.23583
63	GO_DENTATE_GYRUS_DEVELOPMENT	14	-1.5811	0.93107	1	1.5811	0.06993	0.24355	1.3692	0.65534	0.88124	6	-0.50516	0.94705	1	8	2.2487	0.17982	0.51532
64	GO_ESTABLISHMENT_OR_MAINTENANCE_OF_TRANSMEMBRANE_ELECTROCHEMICAL_GRADIENT	13	3.4982	0.026973	0.45076	-3.4982	0.97403	1	2.6468	0.26374	0.67539	9	3.3776	0.11289	0.79553	4	-0.29488	0.82218	0.94221
65	GO_LABYRINTHINE_LAYER_DEVELOPMENT	42	-0.72787	0.88611	1	0.72787	0.11489	0.32842	5.4738	0.053946	0.41022	20	3.1711	0.32567	0.96843	22	4.5397	0.023976	0.20725
66	GO_N_TERMINAL_PROTEIN_AMINO_ACID_ACETYLATION	14	0.81603	0.45055	1	-0.81603	0.55045	0.79025	3.5939	0.11189	0.51443	8	2.8274	0.1968	0.92572	6	2.2249	0.18082	0.51643
67	GO_NEURONAL_STEM_CELL_DIVISION	13	3.8034	0.015984	0.33456	-3.8034	0.98501	1	4.0686	0.045954	0.39978	10	4.0039	0.054945	0.66566	3	1.1593	0.37063	0.68781
68	GO_CERAMIDE_CATABOLIC_PROCESS	10	0.52717	0.51848	1	-0.52717	0.48252	0.74023	-0.086738	0.91209	0.97455	5	0.28571	0.77622	1	5	-0.40837	0.86913	0.964
69	GO_EXCRETION	44	0.011828	0.78621	1	-0.011828	0.21479	0.46498	4.4926	0.1988	0.62726	25	2.5694	0.61339	1	19	3.8895	0.04995	0.29284
70	GO_DIGESTION	117	1.9896	0.47253	1	-1.9896	0.52847	0.77583	9.1013	0.002997	0.10302	62	7.4519	0.010989	0.50454	55	5.3625	0.042957	0.27305
71	GO_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	17	-2.7986	0.99101	1	2.7986	0.00999	0.072449	3.9494	0.078921	0.47063	5	1.7511	0.35265	0.97422	12	3.5704	0.036963	0.25323
72	GO_POSITIVE_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION	46	3.2284	0.075924	0.81268	-3.2284	0.92507	1	3.5412	0.46553	0.80174	29	3.7514	0.37063	0.97699	17	0.92547	0.77323	0.91578
73	GO_HINDBRAIN_DEVELOPMENT	132	0.78104	0.79421	1	-0.78104	0.20679	0.45514	5.9168	0.51249	0.82267	63	5.6539	0.21479	0.92724	69	2.7812	0.72827	0.89671
74	GO_OLIGOSACCHARIDE_METABOLIC_PROCESS	61	-2.7631	0.998	1	2.7631	0.002997	0.032079	5.211	0.19381	0.62077	23	2.6093	0.57143	1	38	4.5723	0.061938	0.31696
75	GO_NEGATIVE_REGULATION_OF_DENDRITIC_SPINE_DEVELOPMENT	11	-0.81948	0.83117	1	0.81948	0.16983	0.40705	2.1569	0.36663	0.74182	4	1.4457	0.41858	0.99886	7	1.611	0.36763	0.68669
76	GO_MODULATION_OF_GROWTH_OF_SYMBIONT_INVOLVED_IN_INTERACTION_WITH_HOST	16	-1.4232	0.93506	1	1.4232	0.065934	0.23786	3.2984	0.15485	0.57479	7	1.4855	0.4985	1	9	3.0878	0.090909	0.37674
77	GO_CHROMOSOME_SEGREGATION	247	11.413	0.000999	0.054151	-11.413	1	1	11.531	0.002997	0.10302	172	12.26	0.000999	0.22209	75	2.359	0.86014	0.96236
78	GO_NEGATIVE_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY	32	-0.096074	0.79021	1	0.096074	0.21079	0.46129	3.5669	0.31069	0.70135	14	3.0112	0.28671	0.94136	18	2.1002	0.42258	0.72084
79	GO_ETHER_METABOLIC_PROCESS	11	0.47487	0.53746	1	-0.47487	0.46354	0.72399	2.6614	0.23377	0.65195	6	1.8114	0.35165	0.97422	5	1.9631	0.20879	0.54639
80	GO_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION	94	0.51166	0.82018	1	-0.51166	0.18082	0.42378	4.0584	0.75824	0.92043	49	3.0881	0.78122	1	45	2.6432	0.58242	0.81817
81	GO_CYTOKINE_METABOLIC_PROCESS	16	-0.81379	0.85614	1	0.81379	0.14486	0.3762	2.9575	0.22278	0.64558	7	2.2411	0.27373	0.93697	9	1.9668	0.32368	0.65135
82	GO_ANTEROGRADE_AXONAL_TRANSPORT	22	1.0911	0.3996	1	-1.0911	0.6014	0.82987	2.2275	0.56444	0.84775	11	2.7436	0.25375	0.93616	11	0.40657	0.81319	0.93788
83	GO_NEGATIVE_REGULATION_OF_ERK1_AND_ERK2_CASCADE	51	-1.7425	0.97702	1	1.7425	0.023976	0.12881	5.3251	0.0999	0.50223	21	3.537	0.24775	0.93605	30	3.9838	0.090909	0.37674
84	GO_STEROID_BIOSYNTHETIC_PROCESS	107	-5.3705	1	1	5.3705	0.000999	0.014666	7.5851	0.041958	0.3951	38	2.5258	0.80819	1	69	7.5711	0.000999	0.033514
85	GO_ALDITOL_PHOSPHATE_METABOLIC_PROCESS	34	3.3963	0.055944	0.6856	-3.3963	0.94505	1	3.0236	0.53147	0.82926	23	3.1789	0.41059	0.99886	11	0.71904	0.75425	0.90849
86	GO_SODIUM_INDEPENDENT_ORGANIC_ANION_TRANSPORT	22	-0.91259	0.86314	1	0.91259	0.13786	0.36682	4.4455	0.065934	0.44746	12	1.652	0.61239	1	10	4.7841	0.003996	0.0782
87	GO_REGULATION_OF_PROTEIN_TYROSINE_KINASE_ACTIVITY	59	2.6438	0.2038	1	-2.6438	0.7972	0.95673	3.2969	0.72627	0.90554	35	3.109	0.63437	1	24	1.4147	0.72328	0.89473
88	GO_REGULATION_OF_INTERFERON_BETA_PRODUCTION	43	2.1531	0.26374	1	-2.1531	0.73726	0.92333	2.5116	0.77323	0.92928	23	3.8683	0.20979	0.92724	20	-0.46553	0.96903	0.99564
89	GO_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION	86	2.6424	0.26274	1	-2.6424	0.73826	0.92403	1.5566	0.99401	0.9966	46	3.2142	0.73826	1	40	-1.1645	1	1
90	GO_N_GLYCAN_PROCESSING	19	-2.6392	0.99001	1	2.6392	0.010989	0.077695	2.9588	0.28372	0.68742	7	0.53863	0.8012	1	12	3.3117	0.050949	0.29301
91	GO_INORGANIC_ION_IMPORT_INTO_CELL	15	-2.7173	0.99001	1	2.7173	0.010989	0.077695	3.8826	0.072927	0.4602	7	0.58277	0.78422	1	8	4.7713	0.005994	0.10014
92	GO_ENDOPLASMIC_RETICULUM_TO_CYTOSOL_TRANSPORT	22	0.8066	0.47952	1	-0.8066	0.52148	0.7728	0.82248	0.90709	0.97455	13	0.84972	0.83217	1	9	0.26468	0.7952	0.92934
93	GO_NEGATIVE_REGULATION_OF_REPRODUCTIVE_PROCESS	50	1.9081	0.34066	1	-1.9081	0.66034	0.87466	2.5741	0.78122	0.93226	26	3.3622	0.38262	0.98069	24	0.21588	0.93207	0.98373
94	GO_G_PROTEIN_COUPLED_PURINERGIC_RECEPTOR_SIGNALING_PATHWAY	19	1.1994	0.38861	1	-1.1994	0.61239	0.83819	0.34913	0.94306	0.98336	10	1.2228	0.6953	1	9	-0.78165	0.95504	0.9914
95	GO_MEMBRANE_DEPOLARIZATION	56	1.0328	0.57343	1	-1.0328	0.42757	0.68841	3.5933	0.6004	0.86252	31	2.742	0.66434	1	25	2.3246	0.47253	0.75401
96	GO_OLFACTORY_BULB_INTERNEURON_DIFFERENTIATION	13	1.553	0.27772	1	-1.553	0.72328	0.91257	0.44637	0.86414	0.95743	9	0.40062	0.86414	1	4	0.20377	0.7013	0.88173
97	GO_POSITIVE_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY	21	-1.6057	0.94705	1	1.6057	0.053946	0.21296	1.214	0.82118	0.94526	10	-0.58707	0.98402	1	11	2.2371	0.28971	0.6248
98	GO_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE	12	2.6757	0.078921	0.81816	-2.6757	0.92208	1	3.2375	0.1039	0.50842	9	2.7599	0.21379	0.92724	3	1.6947	0.21279	0.54711
99	GO_REGULATION_OF_LYASE_ACTIVITY	78	-1.7675	0.98501	1	1.7675	0.015984	0.098227	4.3847	0.57143	0.851	37	1.655	0.94106	1	41	4.4755	0.080919	0.35372
100	GO_NEGATIVE_REGULATION_OF_TRANSMEMBRANE_TRANSPORT	81	-0.69338	0.93207	1	0.69338	0.068931	0.24206	4.1081	0.66733	0.88448	38	2.5006	0.81718	1	43	3.2876	0.38462	0.69537
101	GO_REGULATION_OF_DNA_RECOMBINATION	52	3.047	0.13187	1	-3.047	0.86913	0.99937	3.1796	0.64935	0.87883	30	3.9969	0.29071	0.94783	22	0.22098	0.93906	0.98643
102	GO_REGULATION_OF_LEUKOCYTE_PROLIFERATION	198	6.1517	0.012987	0.29052	-6.1517	0.98801	1	8.6129	0.16384	0.59003	130	7.5377	0.27772	0.94136	68	4.2749	0.28871	0.6248
103	GO_RESPONSE_TO_ETHANOL	129	-3.4125	0.999	1	3.4125	0.001998	0.024415	7.7272	0.075924	0.46523	54	3.9609	0.61838	1	75	6.7732	0.007992	0.1153
104	GO_SULFUR_COMPOUND_METABOLIC_PROCESS	343	-5.2899	1	1	5.2899	0.000999	0.014666	10.417	0.26374	0.67539	139	5.1993	0.91508	1	204	9.2161	0.003996	0.0782
105	GO_POSITIVE_REGULATION_OF_TYROSINE_PHOSPHORYLATION_OF_STAT1_PROTEIN	10	0.91784	0.41359	1	-0.91784	0.58741	0.81697	3.6554	0.067932	0.44808	5	3.3947	0.055944	0.66566	5	1.7749	0.25674	0.59794
106	GO_REGULATION_OF_CELL_CYCLE_CHECKPOINT	27	2.7007	0.13387	1	-2.7007	0.86713	0.99789	3.4732	0.24476	0.66165	21	2.1492	0.64336	1	6	3.347	0.033966	0.24501
107	GO_NEGATIVE_REGULATION_OF_TRANSCRIPTION_REGULATORY_REGION_DNA_BINDING	17	-1.297	0.92408	1	1.297	0.076923	0.2571	4.0372	0.06993	0.45487	7	2.5657	0.21578	0.92724	10	3.1171	0.073926	0.34151
108	GO_POSITIVE_REGULATION_OF_DNA_REPLICATION	85	3.7367	0.072927	0.7906	-3.7367	0.92807	1	4.3656	0.62637	0.8703	53	4.4239	0.46753	1	32	1.4217	0.82817	0.94536
109	GO_NEGATIVE_REGULATION_OF_NEURON_APOPTOTIC_PROCESS	130	-0.41426	0.94406	1	0.41426	0.056943	0.21887	5.7265	0.57143	0.851	59	4.8616	0.4036	0.99695	71	3.3169	0.59241	0.82318
110	GO_POSITIVE_REGULATION_OF_REPRODUCTIVE_PROCESS	46	0.49503	0.68132	1	-0.49503	0.31968	0.58461	2.0928	0.85914	0.95742	24	1.8905	0.8002	1	22	1.0516	0.81019	0.93698
111	GO_POSITIVE_REGULATION_OF_METANEPHROS_DEVELOPMENT	14	-1.3318	0.91209	1	1.3318	0.088911	0.28116	3.1069	0.1978	0.62692	6	1.5214	0.44955	1	8	2.7926	0.091908	0.37828
112	GO_POSITIVE_REGULATION_OF_LYMPHOCYTE_APOPTOTIC_PROCESS	18	2.7383	0.074925	0.80402	-2.7383	0.92607	1	3.7884	0.098901	0.50199	13	3.1866	0.21978	0.92928	5	2.0498	0.18881	0.52472
113	GO_NUCLEOTIDE_PHOSPHORYLATION	55	0.68523	0.67033	1	-0.68523	0.33067	0.59594	4.6204	0.28671	0.6896	29	3.457	0.45255	1	26	3.0691	0.24975	0.59043
114	GO_POSITIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC	73	5.7301	0.003996	0.14951	-5.7301	0.997	1	4.2745	0.54745	0.8353	45	6.2236	0.038961	0.63086	28	-0.98799	0.999	1
115	GO_GLUTAMATE_SECRETION	27	-2.2005	0.98601	1	2.2005	0.014985	0.094141	5.2481	0.028971	0.33651	11	2.5172	0.31568	0.95863	16	4.7304	0.006993	0.1071
116	GO_REGULATION_OF_MRNA_METABOLIC_PROCESS	113	1.9412	0.4965	1	-1.9412	0.5045	0.75908	5.3128	0.57443	0.85217	58	5.464	0.22278	0.93218	55	2.0043	0.85714	0.96105
117	GO_POSITIVE_REGULATION_OF_PROTEIN_BINDING	73	1.013	0.61738	1	-1.013	0.38362	0.64981	3.9376	0.65235	0.8795	33	4.3096	0.21878	0.92928	40	1.4051	0.87712	0.96804
118	GO_REGULATION_OF_NFAT_PROTEIN_IMPORT_INTO_NUCLEUS	16	-1.4034	0.93506	1	1.4034	0.065934	0.23786	0.34631	0.92507	0.97885	8	-1.6118	0.995	1	8	2.1016	0.21279	0.54711
119	GO_REGULATION_OF_VASCULOGENESIS	13	-1.7407	0.95005	1	1.7407	0.050949	0.20555	0.98826	0.75225	0.91949	4	0.45288	0.68831	1	9	0.88583	0.63736	0.84588
120	GO_LENS_FIBER_CELL_DIFFERENTIATION	23	1.5085	0.3007	1	-1.5085	0.7003	0.89696	1.757	0.71229	0.89817	14	1.3413	0.76523	1	9	1.1359	0.56044	0.80413
121	GO_SENSORY_PERCEPTION	488	4.8566	0.26673	1	-4.8566	0.73427	0.92066	9.7128	0.91209	0.97455	274	8.6935	0.8002	1	214	4.8302	0.88711	0.9718
