Gene1	Gene2	R	P	FDR
CAT	GGCT	-0.604897959183674	3.27466258220888e-06	0.000123345623929868
PCSK9	GGCT	0.406002400960384	0.00344011633869323	0.0256710568293052
MTHFS	GGCT	-0.442112845138055	0.00130652673289111	0.0127391389302542
ATIC	GGCT	0.556398559423769	2.7212161250123e-05	0.000683327604725312
GPX7	GGCT	0.374309723889556	0.00740755222469058	0.045115486504179
GCLC	GGCT	-0.400144057623049	0.00398633025099349	0.0285679477104041
GSR	GGCT	0.417527010804322	0.00255460309443523	0.0207516410546677
GPX4	GLRX2	0.386506602641056	0.00556218198039193	0.0366258975774403
PFKP	GGT1	0.376998799519808	0.00696041800982528	0.0432667241318019
PKM	GGT1	0.409363745498199	0.00315746092449398	0.0240727864219252
MTHFS	GGT1	-0.386602641056423	0.00554941347055959	0.0365798837934387
ATIC	GGT1	0.428763505402161	0.0018919439227898	0.0166976584984851
PKM	GLRX3	0.439711884753902	0.00139803127480542	0.0132833962567098
CAT	GLRX3	-0.49406962785114	0.000265832410167421	0.00377172083304808
MTHFS	GLRX3	-0.427899159663866	0.00193685777149044	0.0169521936071805
ATIC	GLRX3	0.549195678271309	3.62526164359167e-05	0.000855994614949556
GGCT	GLRX3	0.469963985594238	0.000574160426047188	0.00680390856933821
SQSTM1	GGT7	0.451140456182473	0.00100844619382467	0.0103932369943364
GART	GGT7	0.395342136854742	0.00448947144121536	0.0312878582378974
GCLM	GGT7	0.516158463385354	0.000124639253812786	0.00217877679040693
GSS	GGT7	0.369987995198079	0.00817845225144698	0.0485945970395835
GPX2	GSTM1	-0.458498403455169	0.000812251110421158	0.00881633795325058
HIF1A	GSTO1	-0.631212484993998	8.90194320479765e-07	4.61733578688193e-05
PFKP	GSTO1	-0.495222088835534	0.00025585473025469	0.00371341452534788
PKM	GSTO1	-0.539591836734694	5.26076477647131e-05	0.00112087944462998
AMT	GSTO1	0.43327731092437	0.00167210333588041	0.0151591259447726
GSR	GSTO1	-0.478703481392557	0.000437139687027521	0.0054346167770337
GGT1	GSTM4	-0.511068427370948	0.000149094528163918	0.00248281624795071
GSTM1	GSTM4	0.647266441157543	3.78176443938116e-07	2.34617699729451e-05
PFKL	GSTA4	0.419351740696279	0.0024346923022871	0.0200347631844899
PKLR	GSTA4	0.554189675870348	2.97353242260101e-05	0.000732160045533821
PFKL	GLRX	-0.389291716686675	0.00520213933775615	0.0350203592865116
GPX3	GLRX	0.529699879951981	7.63041028255529e-05	0.0014902850700003
SQSTM1	OPLAH	0.472076830732293	0.000537890486044024	0.00647104752031669
PFKP	GLRX5	-0.373541416566627	0.00753979999459498	0.0457145016700315
GSR	GLRX5	-0.481392557022809	0.000401371648124371	0.00507975957866204
GSTO1	GLRX5	0.371524609843938	0.0078967453722405	0.0473206484048654
PKLR	GSTK1	0.39639855942377	0.00437423897566869	0.0307216251254511
CAT	GSTK1	0.406002400960384	0.00344011633869323	0.0256710568293052
MTHFS	GSTK1	0.490612244897959	0.000297920409717989	0.00408060682401609
ATIC	GSTK1	-0.465738295318127	0.000653385119213645	0.0074363687668776
ACSS2	GSTA1	0.369987995198079	0.00817845225144698	0.0485945970395835
PFKP	GSTA1	-0.415222088835534	0.00271352467467301	0.0215447730756974
PKM	GSTA1	-0.461512605042017	0.00074231799598623	0.00819788530296835
MTHFS	GSTA1	0.39015606242497	0.00509462807399053	0.0344800069007615
GCLC	GSTA1	0.440384153661465	0.00137185035814769	0.0130542391975317
GGT1	GSTA1	-0.500984393757503	0.000210878507354462	0.00323893008383261
GSTO1	GSTA1	0.42828331332533	0.00191678037334064	0.0167997038815784
GLRX5	GSTA1	0.372484993997599	0.00772498450099546	0.0465116098214075
GSTK1	GSTA1	0.395438175270108	0.00447888685402686	0.0312485071800243
PKLR	GSTA2	0.478511404561825	0.000439801526164407	0.00545698834817327
CAT	GSTA2	0.4215606242497	0.00229622790366379	0.0191948879450257
MTHFS	GSTA2	0.412052821128451	0.00294630025646114	0.0228763043225596
GCLC	GSTA2	0.41234093637455	0.00292443322105518	0.0227904106192576
GCLM	GSTA2	0.436830732292917	0.00151535795804536	0.0141851851457264
GSTK1	GSTA2	0.398991596638655	0.00410233255938008	0.0292337392294563
GSTA1	GSTA2	0.697959183673469	1.76332726198325e-08	2.18790880663333e-06
ACSS2	MTHFD1	0.394093637454982	0.00462908095684567	0.0320490418981612
PKM	MTHFD1	-0.718223289315726	4.31137392453707e-09	7.79496405556301e-07
PKLR	MTHFD1	0.451908763505402	0.000986140494951826	0.0101965638105476
CAT	MTHFD1	0.747130852340936	4.61678473229199e-10	1.53763230452335e-07
MTHFS	MTHFD1	0.605090036014406	3.24504507309697e-06	0.000122961947440465
ATIC	MTHFD1	-0.567923169267707	1.69563458571886e-05	0.000472686152353699
GPX7	MTHFD1	-0.432124849939976	0.00172595400242104	0.0155581722611401
GPX3	MTHFD1	0.446434573829532	0.00115521001689878	0.0116034428364055
GCLC	MTHFD1	0.635726290516206	7.03239295685165e-07	3.836291606117e-05
GSR	MTHFD1	-0.471020408163265	0.000555758751864088	0.00659820146678415
GGCT	MTHFD1	-0.689411764705882	3.08704291018813e-08	3.25580125594508e-06
GGT1	MTHFD1	-0.427226890756303	0.0019724433698538	0.0171450846764215
GLRX3	MTHFD1	-0.560528211284514	2.30159289591469e-05	0.000592052026233666
GSTK1	MTHFD1	0.514045618247299	0.000134307849063875	0.00232213133572732
GSTA1	MTHFD1	0.420216086434574	0.00237965348141511	0.0196842447456142
GSTA2	MTHFD1	0.457863145258103	0.000827723829384119	0.008907885020991
PFKP	GLUD1	-0.401392557022809	0.00386392400429147	0.0279438983990359
PKM	GLUD1	-0.507707082833133	0.000167561544638151	0.00273280787234592
GGH	GLUD1	0.650516206482593	3.16061778971033e-07	2.0729213033886e-05
GSR	GLUD1	-0.376038415366146	0.00711733786534241	0.0439400136701334
PKM	ALDH18A1	0.400144057623049	0.00398633025099349	0.0285679477104041
GART	ALDH18A1	0.373253301320528	0.0075899186592947	0.0458729754307707
GLRX3	ALDH18A1	0.377767106842737	0.00683705674000779	0.0427518725798115
GSTO1	ALDH18A1	-0.441824729891957	0.00131721718413491	0.0127647019007745
GSTA1	ALDH18A1	-0.563985594237695	1.99702917933475e-05	0.000526550026951263
GSTA2	ALDH18A1	-0.512701080432173	0.000140811652272976	0.00237614969488905
MTHFD1	ALDH18A1	-0.433565426170468	0.0016588766993535	0.015060791611921
NFE2L2	ALDH3A2	0.412436974789916	0.00291717613959674	0.0227904106192576
PKM	ALDH3A2	-0.508763505402161	0.000161544780583167	0.00264148674814026
CAT	ALDH3A2	0.509435774309724	0.000157819076563648	0.00259397173115523
GGH	ALDH3A2	0.486770708283313	0.000337660456279032	0.00451736864129749
GCLC	ALDH3A2	0.407442977190876	0.00331635800483232	0.0248943220101767
GGCT	ALDH3A2	-0.385066026410564	0.00575681258527916	0.0376722958010822
MTHFD1	ALDH3A2	0.575414165666266	1.23485942062906e-05	0.000372104305416225
GLUD1	ALDH3A2	0.398319327731092	0.00417136128626572	0.0295923477796967
NFE2L2	ALDH3A1	0.388235294117647	0.00533623298215247	0.0356952244302968
GGH	ALDH3A1	0.584825930372149	8.19823737940872e-06	0.000259392230684492
GPX7	ALDH3A1	-0.382761104441777	0.00608059516280002	0.039303377109498
GPX2	ALDH3A1	0.473805522208884	0.000509766485206287	0.00620346599689497
GPX3	ALDH3A1	0.477551020408163	0.000453331690142722	0.00557025812664688
GGCT	ALDH3A1	-0.410228091236495	0.00308817631084368	0.0236585710593448
MTHFD1	ALDH3A1	0.492052821128451	0.000284146437853794	0.0039730698136552
GLUD1	ALDH3A1	0.401296518607443	0.00387322109481558	0.0279791587762477
ALDH3A2	ALDH3A1	0.657911164465786	2.08425873893248e-07	1.41819239784567e-05
ACSS2	ALDH2	0.444705882352941	0.00121374548409481	0.0120574276661726
PKM	ALDH2	-0.709291716686675	8.13939071697689e-09	1.24288588843058e-06
PKLR	ALDH2	0.512893157262905	0.000139865291284735	0.00237283529021396
CAT	ALDH2	0.780744297719088	2.28248531186637e-11	1.31305155031731e-08
MTHFS	ALDH2	0.691044417767107	2.77796554648546e-08	3.08402911897544e-06
ATIC	ALDH2	-0.642545018007203	4.88961792388665e-07	2.91900964361837e-05
GCLC	ALDH2	0.506650660264106	0.000173781668632245	0.00281250741459039
GSR	ALDH2	-0.435390156062425	0.0015772505330065	0.0145668873893457
GGCT	ALDH2	-0.618727490996399	1.67618509339107e-06	7.36590227151298e-05
GLRX3	ALDH2	-0.530852340936375	7.3112297926059e-05	0.00144194951710038
GSTK1	ALDH2	0.490612244897959	0.000297920409717989	0.00408060682401609
GSTA1	ALDH2	0.449987995198079	0.0010427528894863	0.0106428069107569
GSTA2	ALDH2	0.444897959183673	0.00120711312009147	0.0120103959495894
MTHFD1	ALDH2	0.799279711884754	3.43658435042471e-12	2.41630064105417e-09
GLUD1	ALDH2	0.43875150060024	0.00143620626644392	0.0135646466478464
ALDH18A1	ALDH2	-0.529795918367347	7.60333281286663e-05	0.00148959411887988
ALDH3A2	ALDH2	0.491668667466987	0.000287761866164971	0.00399332694976301
PFKP	GAPDH	0.384297719087635	0.0058630264404318	0.0380916132598074
PKM	GAPDH	0.569075630252101	1.61571185475218e-05	0.000460550658417648
PKLR	GAPDH	-0.403313325330132	0.00368205862805748	0.0269053891435886
CAT	GAPDH	-0.623049219687875	1.35065258533018e-06	6.3783056417682e-05
MTHFS	GAPDH	-0.392076830732293	0.00486265006516695	0.0332298591926312
ATIC	GAPDH	0.435486194477791	0.00157305533976082	0.014553061681296
GSR	GAPDH	0.418871548619448	0.00246575421692108	0.020264016473606
GGCT	GAPDH	0.498679471788715	0.000227926859793115	0.00340974271577029
GLRX3	GAPDH	0.413013205282113	0.00287396683997909	0.0225358886782995
MTHFD1	GAPDH	-0.471884753901561	0.000541100206478351	0.00648500398976327
GLUD1	GAPDH	-0.573109243697479	1.36254541378555e-05	0.00040479752950399
ALDH3A2	GAPDH	-0.498679471788715	0.000227926859793115	0.00340974271577029
ALDH2	GAPDH	-0.566482593037215	1.8006628372369e-05	0.000497580542970965
ACSS2	ALDH5A1	0.504345738295318	0.000188088570363565	0.00296075739617074
PFKP	ALDH5A1	-0.482352941176471	0.000389253251889876	0.00496611810072406
PKM	ALDH5A1	-0.689027611044418	3.16431534308492e-08	3.28258811328547e-06
PKLR	ALDH5A1	0.718607442977191	4.19286028119359e-09	7.79496405556301e-07
CAT	ALDH5A1	0.828571428571429	1.11022302462516e-13	2.341830433276e-10
MTHFS	ALDH5A1	0.620360144057623	1.54546964781233e-06	6.93598009316056e-05
ATIC	ALDH5A1	-0.611332533013205	2.40747686675036e-06	9.95719843973612e-05
AMT	ALDH5A1	0.488211284513806	0.00032222752626776	0.00435695680816749
GCLC	ALDH5A1	0.629579831932773	9.68533173661967e-07	4.86418882772455e-05
GSR	ALDH5A1	-0.381800720288115	0.0062201222069318	0.0397585185105701
GGCT	ALDH5A1	-0.504249699879952	0.000188707302183122	0.00296312607497468
GGT1	ALDH5A1	-0.36921968787515	0.0083225420710582	0.0490820561282911
GLRX3	ALDH5A1	-0.516926770708283	0.00012128389713606	0.00213783983586904
GSTO1	ALDH5A1	0.36921968787515	0.0083225420710582	0.0490820561282911
GSTK1	ALDH5A1	0.568403361344538	1.66190047137249e-05	0.000467207262097702
GSTA1	ALDH5A1	0.421752701080432	0.00228452415985281	0.0191476409053623
MTHFD1	ALDH5A1	0.718607442977191	4.19286028119359e-09	7.79496405556301e-07
GLUD1	ALDH5A1	0.381800720288115	0.0062201222069318	0.0397585185105701
ALDH18A1	ALDH5A1	-0.397070828331333	0.00430226800428279	0.0303508940146059
ALDH3A2	ALDH5A1	0.552845138055222	3.13747319902191e-05	0.000760686988636424
ALDH2	ALDH5A1	0.742136854741897	6.93526569506275e-10	2.19431806591786e-07
GAPDH	ALDH5A1	-0.665594237695078	1.33582320538395e-07	1.00632014805591e-05
PKM	ALDH8A1	-0.430588235294118	0.00180015450393323	0.0160668232734689
CAT	ALDH8A1	0.423577430972389	0.00217594961935985	0.0184083010578999
ATIC	ALDH8A1	-0.393613445378151	0.00468378178933215	0.032286460961758
GGCT	ALDH8A1	-0.421272509003601	0.00231388321141468	0.0193153457513702
GLUD1	ALDH8A1	0.493781512605042	0.00026838137303864	0.00379088689417079
ALDH2	ALDH8A1	0.456710684273709	0.000856470875634896	0.00917046988327855
GAPDH	ALDH8A1	-0.517310924369748	0.000119637315993737	0.00211470652404572
ACSS2	ALDH6A1	0.430396158463385	0.00180962631817261	0.0160833080637588
NQO1	ALDH6A1	-0.38218487394958	0.00616398005132757	0.0395996606749247
PFKP	ALDH6A1	-0.375366146458583	0.00722900294397144	0.0444127481839333
PKM	ALDH6A1	-0.642256902761104	4.96617863277038e-07	2.93700732599729e-05
PKLR	ALDH6A1	0.506842737094838	0.000172635337218452	0.00280111901004709
CAT	ALDH6A1	0.764705882352941	1.01951558306723e-10	4.9626881612688e-08
MTHFS	ALDH6A1	0.677695078031213	6.45411666333473e-08	6.09576869337047e-06
ATIC	ALDH6A1	-0.584921968787515	8.16350275800737e-06	0.000259392230684492
AMT	ALDH6A1	0.385258103241297	0.00573052306034993	0.037577979197818
GCLC	ALDH6A1	0.55937575030012	2.4122592976461e-05	0.000615515194980022
GSR	ALDH6A1	-0.384585834333734	0.0058229975233286	0.0379093912835631
GGCT	ALDH6A1	-0.585018007202881	8.12890430412772e-06	0.000259392230684492
GGT1	ALDH6A1	-0.446146458583433	0.00116478699517231	0.0116810968390655
GLRX3	ALDH6A1	-0.476494597839136	0.000468648199443589	0.0057361814430929
GSTK1	ALDH6A1	0.504153661464586	0.000189327885046886	0.00296551202122944
GSTA1	ALDH6A1	0.413109243697479	0.00286682054542098	0.0225357023744397
GSTA2	ALDH6A1	0.467370948379352	0.000621678256224278	0.00717879563026867
MTHFD1	ALDH6A1	0.835678271308523	4.37427871702312e-14	1.81257675535562e-10
ALDH18A1	ALDH6A1	-0.403505402160864	0.00366429332545115	0.026806529668734
ALDH3A2	ALDH6A1	0.54516206482593	4.24482117757918e-05	0.000969719437246248
ALDH2	ALDH6A1	0.818103241296519	4.06119582407882e-13	5.13984943495416e-10
GAPDH	ALDH6A1	-0.505018007202881	0.000183808864108403	0.00290785623019494
ALDH5A1	ALDH6A1	0.724657863145258	2.68657518454063e-09	5.86229233371486e-07
ALDH8A1	ALDH6A1	0.402064825930372	0.003799392103637	0.0275717353575859
HIF1A	LDHA	0.482833133253301	0.000383319024972906	0.00491537667187473
PFKP	LDHA	0.466986794717887	0.000629011383013189	0.00723706187583175
GSTA4	LDHA	-0.393037214885954	0.0047501699321697	0.0326374324981215
PKM	ALDH1B1	-0.397935174069628	0.00421126255408177	0.0298419590618471
GGH	ALDH1B1	0.376134453781513	0.00710150872971393	0.0439280031687486
GLRX3	ALDH1B1	-0.481488595438175	0.000400144639437716	0.00507437931535444
GLUD1	ALDH1B1	0.405906362545018	0.00344850973166633	0.0257033799552232
GAPDH	ALDH1B1	-0.413685474189676	0.00282427163177412	0.0222842779125519
ALDH5A1	ALDH1B1	0.402064825930372	0.003799392103637	0.0275717353575859
ACSS2	ALDH9A1	0.479759903961585	0.000422758047082361	0.00530796214670076
NFE2L2	ALDH9A1	0.417719087635054	0.00254173933541368	0.0207002915244502
PFKP	ALDH9A1	-0.378247298919568	0.00676092553689767	0.0424015230896813
PKM	ALDH9A1	-0.505882352941176	0.000178436614375777	0.00285583504782461
PKLR	ALDH9A1	0.601440576230492	3.85258795265742e-06	0.000140110210140323
CAT	ALDH9A1	0.710540216086435	7.45819939140802e-09	1.20397516472082e-06
MTHFS	ALDH9A1	0.625738295318127	1.17889181705522e-06	5.82814642056673e-05
ATIC	ALDH9A1	-0.454405762304922	0.000916668230524831	0.00968393416153778
GCLC	ALDH9A1	0.624585834333733	1.24984950300444e-06	6.08388281154777e-05
GGCT	ALDH9A1	-0.425114045618247	0.00208809614224048	0.0179287277993185
GGT1	ALDH9A1	-0.550252100840336	3.47734229757535e-05	0.000830363096568181
GSTM4	ALDH9A1	0.44672268907563	0.00114570354669041	0.0115446051647403
GSTK1	ALDH9A1	0.405810324129652	0.00345692116400231	0.0257357613244784
GSTA1	ALDH9A1	0.535846338535414	6.06446528519378e-05	0.00123793342982923
GSTA2	ALDH9A1	0.540072028811525	5.16511501109651e-05	0.00111934410240475
MTHFD1	ALDH9A1	0.656950780312125	2.20148080209981e-07	1.48201813996676e-05
ALDH3A2	ALDH9A1	0.415990396158463	0.00265960545660793	0.0212768436528634
ALDH2	ALDH9A1	0.649363745498199	3.36908130726954e-07	2.15348954670724e-05
GAPDH	ALDH9A1	-0.486482593037215	0.000340826206539635	0.00454052259996381
ALDH5A1	ALDH9A1	0.704873949579832	1.10493303395742e-08	1.52000353019186e-06
ALDH6A1	ALDH9A1	0.721104441776711	3.49413520339681e-09	7.13254437648226e-07
ACSS2	ALDH1L1	0.471212484993998	0.000552470705553088	0.00658386934979273
PKM	ALDH1L1	-0.624873949579832	1.2317466717704e-06	6.04224258834346e-05
PKLR	ALDH1L1	0.608355342136855	2.77807987769663e-06	0.000110564084692228
CAT	ALDH1L1	0.645522208883553	4.16043122619669e-07	2.55603968925948e-05
ATIC	ALDH1L1	-0.394477791116447	0.00458572432166449	0.0318184906880404
GPX7	ALDH1L1	-0.415126050420168	0.00272033210269118	0.021571756323095
GPX3	ALDH1L1	0.56859543817527	1.64858099087617e-05	0.000465724129922518
GCLC	ALDH1L1	0.572917166866747	1.37371794299845e-05	0.000406209679593188
GCLM	ALDH1L1	0.426074429771909	0.00203480063386019	0.0175904623102012
GSR	ALDH1L1	-0.370084033613445	0.00816059390834201	0.0485797161354546
GGCT	ALDH1L1	-0.564657863145258	1.94230639047888e-05	0.000523017652721291
GLRX3	ALDH1L1	-0.425210084033613	0.00208271138073779	0.0179067902409086
GSTO1	ALDH1L1	0.388139255702281	0.00534857183906112	0.0357399816236312
GSTA1	ALDH1L1	0.548139255702281	3.7789429908397e-05	0.000885672268371615
GSTA2	ALDH1L1	0.61594237695078	1.92315616853733e-06	8.27872941122737e-05
MTHFD1	ALDH1L1	0.728403361344538	2.02754013578499e-09	4.934720761249e-07
ALDH18A1	ALDH1L1	-0.505882352941176	0.000178436614375777	0.00285583504782461
ALDH3A2	ALDH1L1	0.501368547418968	0.000208152570715825	0.00320484055350302
ALDH3A1	ALDH1L1	0.511260504201681	0.000148097544603321	0.0024727210085747
ALDH2	ALDH1L1	0.620360144057623	1.54546964781233e-06	6.93598009316056e-05
GAPDH	ALDH1L1	-0.392557022809124	0.00480612174917594	0.0329146519792049
ALDH5A1	ALDH1L1	0.630732292917167	9.12599512403744e-07	4.65720138265395e-05
ALDH6A1	ALDH1L1	0.586938775510204	7.46478957935892e-06	0.000242241992093247
ALDH9A1	ALDH1L1	0.496662665066026	0.000243861064950002	0.00358872748605491
GLRX3	ALDH4A1	-0.455558223289316	0.000886110960550246	0.0094558350056694
GLUD1	ALDH4A1	0.388523409363746	0.00529936560514699	0.0354861222744658
ALDH1B1	ALDH4A1	0.421656662665066	0.00229036940279026	0.0191712401863185
ALDH1L1	ALDH4A1	0.457382953181273	0.000839594762913176	0.00902029823381083
GCLC	ALDH16A1	-0.391788715486194	0.00489684583775563	0.0333554795062622
MTHFD1	ALDH16A1	-0.370660264105642	0.00805415179408753	0.0481271695495617
ACSS2	ALDH7A1	0.518175270108043	0.000116006838357219	0.00206786274119572
PFKP	ALDH7A1	-0.499447779111645	0.000222109802325843	0.00337052956623006
PKM	ALDH7A1	-0.668187274909964	1.14623529334779e-07	9.28666202006119e-06
PKLR	ALDH7A1	0.552076830732293	3.23484507891436e-05	0.000781301513716415
CAT	ALDH7A1	0.658295318127251	2.03902509099407e-07	1.40249464954462e-05
MTHFS	ALDH7A1	0.637551020408163	6.38623645077274e-07	3.56300548221468e-05
ATIC	ALDH7A1	-0.498967587034814	0.000225729438023015	0.00339291183802764
AMT	ALDH7A1	0.458151260504202	0.000820673826248619	0.00887730593589959
GCLC	ALDH7A1	0.505594237695078	0.000180211273690389	0.00285808756870372
GSR	ALDH7A1	-0.389867947178872	0.00513024709622201	0.0346469622464171
GGCT	ALDH7A1	-0.450660264105642	0.00102261579207741	0.0105050531367952
GGT1	ALDH7A1	-0.461704681872749	0.000738050771621923	0.00817930872648604
GSTO1	ALDH7A1	0.505690276110444	0.00017961794390553	0.00285583504782461
GSTK1	ALDH7A1	0.570900360144058	1.49624449468089e-05	0.00043233950512971
GSTA1	ALDH7A1	0.658775510204082	1.9837735254491e-07	1.3794855900046e-05
GSTA2	ALDH7A1	0.499735894357743	0.000219963416371094	0.00336214613235817
MTHFD1	ALDH7A1	0.693349339735894	2.39076132224625e-08	2.7506795722135e-06
ALDH18A1	ALDH7A1	-0.560816326530612	2.2746667198259e-05	0.000589921762420422
ALDH3A2	ALDH7A1	0.460168067226891	0.000772814919035358	0.00849023056884678
ALDH2	ALDH7A1	0.733877551020408	1.33251965017678e-09	3.53968957996405e-07
GAPDH	ALDH7A1	-0.464201680672269	0.000684548878084446	0.00772161372641421
ALDH5A1	ALDH7A1	0.725522208883553	2.51865595046752e-09	5.73319784091808e-07
ALDH6A1	ALDH7A1	0.762016806722689	1.29531496639856e-10	5.85482364812151e-08
ALDH9A1	ALDH7A1	0.633517406962785	7.89605481887889e-07	4.16385290782214e-05
ALDH1L1	ALDH7A1	0.63937575030012	5.79578785409041e-07	3.30412121988145e-05
ACSS2	ALDH1A1	0.525666266506603	8.85060431725648e-05	0.00168694650962648
PKM	ALDH1A1	-0.556014405762305	2.76363070832453e-05	0.000691235380327178
PKLR	ALDH1A1	0.637454981992797	6.41881518603782e-07	3.56300548221468e-05
CAT	ALDH1A1	0.636590636254502	6.71907713911679e-07	3.69724522924618e-05
GGH	ALDH1A1	0.372581032412965	0.00770798803698858	0.0464977581487738
GPX3	ALDH1A1	0.502424969987995	0.000200820594958184	0.00310707267700584
GCLC	ALDH1A1	0.607490996398559	2.89520490515116e-06	0.000114505353998728
GCLM	ALDH1A1	0.484177671068427	0.000367136012318081	0.00478032239907164
GSTO1	ALDH1A1	0.370180072028812	0.00814276936418512	0.0485192509760484
GSTA4	ALDH1A1	0.44124849939976	0.00133883278145031	0.0128560452822724
GSTA1	ALDH1A1	0.559855942376951	2.36556609873873e-05	0.000606044626429905
GSTA2	ALDH1A1	0.582328931572629	9.15077057683789e-06	0.000286663743615001
MTHFD1	ALDH1A1	0.619495798319328	1.61344167626254e-06	7.19004149816151e-05
ALDH18A1	ALDH1A1	-0.482737094837935	0.000384499281380846	0.00491537667187473
ALDH3A2	ALDH1A1	0.607106842737095	2.94871797978935e-06	0.000115897437118677
